name,volumeId,volumeNumber,year
HRB Open Research,volume::hrb open research::2020::19,19,2020
Informatics,volume::informatics::2018::13,13,2018
Journal of Consulting and Clinical Psychology,volume::journal of consulting and clinical psychology::2017::3,3,2017
Nephron,volume::nephron::2022::18,18,2022
Naukovyi Visnyk Natsionalnoho Hirnychoho Universytetu,volume::naukovyi visnyk natsionalnoho hirnychoho universytetu::2024::11,11,2024
ACS Omega,volume::acs omega::2023::9,9,2023
Media Ethics: Human Ecology a Connected World,volume::media ethics: human ecology a connected world::2024::6,6,2024
"IEEE Transactions on Systems, Man and Cybernetics","volume::ieee transactions on systems, man and cybernetics::1986::15",15,1986
PLoS ONE,volume::plos one::2013::6,6,2013
European Journal of Epidemiology,volume::european journal of epidemiology::2024::17,17,2024
Digit. Signal Process.,volume::digit. signal process.::2008::9,9,2008
"Transactions on Social Science, Education and Humanities Research","volume::transactions on social science, education and humanities research::2024::15",15,2024
Bulletin of The American Meteorological Society - (BAMS),volume::bulletin of the american meteorological society - (bams)::2024::8,8,2024
Remote Sensing,volume::remote sensing::2026::17,17,2026
Frontiers in Marine Science,volume::frontiers in marine science::2023::9,9,2023
Jurnal Pendidikan dan Pembelajaran Indonesia (JPPI),volume::jurnal pendidikan dan pembelajaran indonesia (jppi)::2025::18,18,2025
Diabetes Care,volume::diabetes care::2020::7,7,2020
Frontiers in Medicine,volume::frontiers in medicine::2023::7,7,2023
Global Fashion Management Conference,volume::global fashion management conference::2025::10,10,2025
International Journal of Child Abuse & Neglect,volume::international journal of child abuse & neglect::2009::5,5,2009
Pattern Recognition,volume::pattern recognition::2025::13,13,2025
International Journal of Environmental Research and Public Health,volume::international journal of environmental research and public health::2017::5,5,2017
International Conference on Health Informatics,volume::international conference on health informatics::2016::7,7,2016
Medical Care,volume::medical care::2017::5,5,2017
Computational and Applied Mathematics,volume::computational and applied mathematics::2024::18,18,2024
Occupational and Environmental Medicine,volume::occupational and environmental medicine::2014::17,17,2014
Plant Signalling & Behavior,volume::plant signalling & behavior::2012::18,18,2012
Journal of public health,volume::journal of public health::2020::20,20,2020
Highlights in Science Engineering and Technology,volume::highlights in science engineering and technology::2024::13,13,2024
Globalization and Health,volume::globalization and health::2021::8,8,2021
WCAE-4 '98,volume::wcae-4 '98::1998::4,4,1998
Endocrinology,volume::endocrinology::2001::2,2,2001
International Journal of Research In Business and Social Science,volume::international journal of research in business and social science::2023::20,20,2023
BMC Bioinformatics,volume::bmc bioinformatics::2015::1,1,2015
Wei sheng yan jiu = Journal of hygiene research,volume::wei sheng yan jiu = journal of hygiene research::2026::19,19,2026
Theoretical Biology and Medical Modelling,volume::theoretical biology and medical modelling::2015::5,5,2015
Multimedia tools and applications,volume::multimedia tools and applications::2015::19,19,2015
Machine-mediated learning,volume::machine-mediated learning::2015::9,9,2015
bioRxiv,volume::biorxiv::2020::2,2,2020
Decision Sciences,volume::decision sciences::2003::15,15,2003
IEEE International Symposium on On-Line Testing and Robust System Design,volume::ieee international symposium on on-line testing and robust system design::2019::10,10,2019
Winter simulation conference : proceedings,volume::winter simulation conference : proceedings::1990::19,19,1990
Journal of Systems Science and Complexity,volume::journal of systems science and complexity::2015::19,19,2015
Trends in Hearing,volume::trends in hearing::2022::7,7,2022
Health Promotion International,volume::health promotion international::2024::3,3,2024
KSII Transactions on Internet and Information Systems,volume::ksii transactions on internet and information systems::2020::20,20,2020
Neural computing & applications (Print),volume::neural computing & applications (print)::2021::4,4,2021
Journal of Aircraft,volume::journal of aircraft::2023::10,10,2023
Anemon Muş Alparslan Üniversitesi Sosyal Bilimler Dergisi,volume::anemon muş alparslan üniversitesi sosyal bilimler dergisi::2023::4,4,2023
British medical journal,volume::british medical journal::2021::15,15,2021
Chemosphere,volume::chemosphere::2016::13,13,2016
npj Systems Biology and Applications,volume::npj systems biology and applications::2022::13,13,2022
Archives of Environmental Health An International Journal,volume::archives of environmental health an international journal::2002::3,3,2002
International Journal of Semantic Computing,volume::international journal of semantic computing::2018::17,17,2018
Journal of Animal Ecology,volume::journal of animal ecology::2018::20,20,2018
International Conference on Medical Image Computing and Computer-Assisted Intervention,volume::international conference on medical image computing and computer-assisted intervention::2019::12,12,2019
ACM Transactions on Graphics,volume::acm transactions on graphics::2022::13,13,2022
IEEE journal of biomedical and health informatics,volume::ieee journal of biomedical and health informatics::2023::18,18,2023
Journal of Cardiovascular Pharmacology,volume::journal of cardiovascular pharmacology::2014::5,5,2014
European Journal of Preventive Cardiology,volume::european journal of preventive cardiology::2024::7,7,2024
Frontiers in Oncology,volume::frontiers in oncology::2025::5,5,2025
Data in Brief,volume::data in brief::2021::14,14,2021
Nature Communications,volume::nature communications::2021::11,11,2021
"Nephrology, Dialysis and Transplantation","volume::nephrology, dialysis and transplantation::2011::16",16,2011
Tropical and Subtropical Agroecosystems,volume::tropical and subtropical agroecosystems::2023::5,5,2023
IEEE Transactions on Geoscience and Remote Sensing,volume::ieee transactions on geoscience and remote sensing::2003::16,16,2003
Journal of Child Psychology and Psychiatry and Allied Disciplines,volume::journal of child psychology and psychiatry and allied disciplines::2000::4,4,2000
Italian National Conference on Sensors,volume::italian national conference on sensors::2025::18,18,2025
IEEE Transactions on Biomedical Engineering,volume::ieee transactions on biomedical engineering::1992::8,8,1992
Wireless personal communications,volume::wireless personal communications::2022::15,15,2022
BMC Psychology,volume::bmc psychology::2024::12,12,2024
IEEE International Geoscience and Remote Sensing Symposium,volume::ieee international geoscience and remote sensing symposium::2024::18,18,2024
Journal of Physical Chemistry A,volume::journal of physical chemistry a::2015::7,7,2015
SN Computer Science,volume::sn computer science::2023::3,3,2023
New England Journal of Medicine,volume::new england journal of medicine::1994::13,13,1994
Comput. Methods Programs Biomed.,volume::comput. methods programs biomed.::2023::19,19,2023
Experimental and Molecular Medicine,volume::experimental and molecular medicine::2018::7,7,2018
"International Conference on Systems, Signals, and Image Processing","volume::international conference on systems, signals, and image processing::2020::16",16,2020
Royal Society Open Science,volume::royal society open science::2021::9,9,2021
The Journal of frailty & aging,volume::the journal of frailty & aging::2014::10,10,2014
PLoS ONE,volume::plos one::2014::7,7,2014
Journal of Dairy Science,volume::journal of dairy science::2022::5,5,2022
IEEE/ASME transactions on mechatronics,volume::ieee/asme transactions on mechatronics::2025::16,16,2025
Journal of Biological Chemistry,volume::journal of biological chemistry::2011::13,13,2011
J. Electronic Imaging,volume::j. electronic imaging::2023::9,9,2023
Cell and tissue kinetics,volume::cell and tissue kinetics::1977::10,10,1977
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management","volume::international joint conference on knowledge discovery, knowledge engineering and knowledge management::2014::1",1,2014
IEEE Access,volume::ieee access::2023::10,10,2023
LGBT Health,volume::lgbt health::2025::20,20,2025
American Journal of Physiology - Gastrointestinal and Liver Physiology,volume::american journal of physiology - gastrointestinal and liver physiology::1999::4,4,1999
Petra,volume::petra::2022::19,19,2022
Methods of Information in Medicine,volume::methods of information in medicine::2001::1,1,2001
IEEE International Conference on Consumer Electronics,volume::ieee international conference on consumer electronics::2022::3,3,2022
Cancer Immunology and Immunotherapy,volume::cancer immunology and immunotherapy::2012::15,15,2012
Proceedings of the National Academy of Sciences of the United States of America,volume::proceedings of the national academy of sciences of the united states of america::2004::2,2,2004
Current HIV/AIDS Reports,volume::current hiv/aids reports::2020::8,8,2020
Decision Analytics,volume::decision analytics::2024::9,9,2024
bioRxiv,volume::biorxiv::2025::20,20,2025
Poultry Science,volume::poultry science::2025::1,1,2025
bioRxiv,volume::biorxiv::2024::13,13,2024
arXiv.org,volume::arxiv.org::2025::7,7,2025
International Journal of Innovative Science and Research Technology,volume::international journal of innovative science and research technology::2025::3,3,2025
World Electric Vehicle Journal,volume::world electric vehicle journal::2025::1,1,2025
American Journal of Qualitative Research,volume::american journal of qualitative research::2024::6,6,2024
Medical Engineering and Physics,volume::medical engineering and physics::2006::1,1,2006
Inżynieria Mineralna,volume::inżynieria mineralna::2025::12,12,2025
Orthopaedic Journal of Sports Medicine,volume::orthopaedic journal of sports medicine::2024::7,7,2024
Frontiers in Cell and Developmental Biology,volume::frontiers in cell and developmental biology::2020::7,7,2020
Environmental Science and Technology,volume::environmental science and technology::2022::15,15,2022
International Journal of Computer Assisted Radiology and Surgery,volume::international journal of computer assisted radiology and surgery::2016::1,1,2016
Cellular and Molecular Gastroenterology and Hepatology,volume::cellular and molecular gastroenterology and hepatology::2019::2,2,2019
Journal of the Acoustical Society of America,volume::journal of the acoustical society of america::2011::7,7,2011
arXiv.org,volume::arxiv.org::2024::1,1,2024
Cancer Biotherapy and Radiopharmaceuticals,volume::cancer biotherapy and radiopharmaceuticals::2007::11,11,2007
IEEE Transactions on Medical Imaging,volume::ieee transactions on medical imaging::2018::10,10,2018
International Conference on Intelligent User Interfaces,volume::international conference on intelligent user interfaces::2007::11,11,2007
Family Process,volume::family process::2013::20,20,2013
Physical Review Letters,volume::physical review letters::2020::19,19,2020
Astrophysical Journal,volume::astrophysical journal::2023::18,18,2023
IEEE Transactions on Radiation and Plasma Medical Sciences,volume::ieee transactions on radiation and plasma medical sciences::2025::9,9,2025
International Journal of Innovation Management and Organizational Behavior,volume::international journal of innovation management and organizational behavior::2024::2,2,2024
Academic Journal of Management and Social Sciences,volume::academic journal of management and social sciences::2023::1,1,2023
IEEE Access,volume::ieee access::2019::17,17,2019
Journal of Statistical Computation and Simulation,volume::journal of statistical computation and simulation::2024::2,2,2024
Archives of oto-rhino-laryngology,volume::archives of oto-rhino-laryngology::2004::16,16,2004
PLoS ONE,volume::plos one::2024::17,17,2024
Comput. Biol. Medicine,volume::comput. biol. medicine::2024::4,4,2024
"The journals of gerontology. Series B, Psychological sciences and social sciences","volume::the journals of gerontology. series b, psychological sciences and social sciences::2024::4",4,2024
Journal of Authentic Research,volume::journal of authentic research::2025::3,3,2025
Decision Support Systems,volume::decision support systems::2007::15,15,2007
Annals of Vascular Surgery,volume::annals of vascular surgery::2007::17,17,2007
Sri Lankan Journal of Applied Statistics,volume::sri lankan journal of applied statistics::2023::17,17,2023
BMC Infectious Diseases,volume::bmc infectious diseases::2010::20,20,2010
Proceedings of the National Academy of Sciences of the United States of America,volume::proceedings of the national academy of sciences of the united states of america::2023::1,1,2023
Australian meteorological magazine,volume::australian meteorological magazine::1977::18,18,1977
Journal of Multimorbidity and Comorbidity,volume::journal of multimorbidity and comorbidity::2022::12,12,2022
Italian National Conference on Sensors,volume::italian national conference on sensors::2020::17,17,2020
Revista Politécnica,volume::revista politécnica::2023::8,8,2023
JPI (Jurnal Pendidikan Indonesia),volume::jpi (jurnal pendidikan indonesia)::2024::5,5,2024
IEEE International Geoscience and Remote Sensing Symposium,volume::ieee international geoscience and remote sensing symposium::2018::3,3,2018
Supportive Care in Cancer,volume::supportive care in cancer::2017::12,12,2017
JATI (Jurnal Mahasiswa Teknik Informatika),volume::jati (jurnal mahasiswa teknik informatika)::2026::19,19,2026
Processes,volume::processes::2023::14,14,2023
Neural Processing Letters,volume::neural processing letters::2022::2,2,2022
RAIRO Oper. Res.,volume::rairo oper. res.::2023::9,9,2023
JMIR Medical Education,volume::jmir medical education::2018::8,8,2018
International Journal of Molecular Sciences,volume::international journal of molecular sciences::2022::5,5,2022
NeuroImage,volume::neuroimage::2012::15,15,2012
Artif. Intell. Medicine,volume::artif. intell. medicine::2021::7,7,2021
Cancer immunology research,volume::cancer immunology research::2019::1,1,2019
Innovations in Education & Teaching International,volume::innovations in education & teaching international::2024::1,1,2024
IEEE Signal Processing Letters,volume::ieee signal processing letters::2016::7,7,2016
International Journal of Endocrinology,volume::international journal of endocrinology::2014::9,9,2014
bioRxiv,volume::biorxiv::2025::1,1,2025
Interactive Technology and Smart Education,volume::interactive technology and smart education::2008::10,10,2008
Biophysical Chemistry,volume::biophysical chemistry::1988::12,12,1988
Journal of Biomechanics,volume::journal of biomechanics::2005::14,14,2005
BMC Proceedings,volume::bmc proceedings::2007::6,6,2007
American Journal of Health Promotion,volume::american journal of health promotion::2003::13,13,2003
Records of Chemical Sciences,volume::records of chemical sciences::2025::9,9,2025
Journal of Mental Health,volume::journal of mental health::2017::2,2,2017
Nuclear Science and Techniques,volume::nuclear science and techniques::2023::13,13,2023
Dental Traumatology,volume::dental traumatology::2016::15,15,2016
Jurnal Ilmiah Sekolah Dasar,volume::jurnal ilmiah sekolah dasar::2023::10,10,2023
Journal of Neuro-Oncology,volume::journal of neuro-oncology::2010::15,15,2010
Jurnal Muara Pendidikan,volume::jurnal muara pendidikan::2023::20,20,2023
"IEEE International Conference on Systems, Man and Cybernetics","volume::ieee international conference on systems, man and cybernetics::2021::7",7,2021
"Physical Review D, Particles and fields","volume::physical review d, particles and fields::1989::15",15,1989
Library hi tech,volume::library hi tech::2016::8,8,2016
Proceedings of the National Academy of Sciences of the United States of America,volume::proceedings of the national academy of sciences of the united states of america::2018::12,12,2018
Cogent Education,volume::cogent education::2025::19,19,2025
Waste Management,volume::waste management::2007::10,10,2007
"Governance. An International Journal of Policy, Administration and Institutions","volume::governance. an international journal of policy, administration and institutions::2024::10",10,2024
Jurnal Pendidikan Sekolah Dasar,volume::jurnal pendidikan sekolah dasar::2021::4,4,2021
Molecular Cancer Therapeutics,volume::molecular cancer therapeutics::2017::6,6,2017
BMC Bioinformatics,volume::bmc bioinformatics::2008::15,15,2008
IEEE Transactions on Network Science and Engineering,volume::ieee transactions on network science and engineering::2020::14,14,2020
IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477),volume::igarss 2003. 2003 ieee international geoscience and remote sensing symposium. proceedings (ieee cat. no.03ch37477)::2003::2,2,2003
"International Journal of Advanced Research in Science, Communication and Technology","volume::international journal of advanced research in science, communication and technology::2023::20",20,2023
npj Parkinson's Disease,volume::npj parkinson's disease::2020::4,4,2020
Journal of Pediatric Surgery,volume::journal of pediatric surgery::2025::9,9,2025
Journal of Molecular and Cellular Cardiology,volume::journal of molecular and cellular cardiology::2021::9,9,2021
Journal of Computing and Information Science in Engineering,volume::journal of computing and information science in engineering::2025::17,17,2025
Scientific Reports,volume::scientific reports::2025::12,12,2025
Canadian journal of statistics,volume::canadian journal of statistics::2024::4,4,2024
Agriculture,volume::agriculture::2024::11,11,2024
RMD Open,volume::rmd open::2026::2,2,2026
Physical Review B (Condensed Matter),volume::physical review b (condensed matter)::1996::14,14,1996
Proceedings of the National Academy of Sciences of the United States of America,volume::proceedings of the national academy of sciences of the united states of america::1999::20,20,1999
PLoS ONE,volume::plos one::2024::14,14,2024
Epilepsy Research,volume::epilepsy research::2021::17,17,2021
IEEE International Geoscience and Remote Sensing Symposium,volume::ieee international geoscience and remote sensing symposium::2009::7,7,2009
Spine,volume::spine::2014::3,3,2014
"Physical review. E, Statistical, nonlinear, and soft matter physics","volume::physical review. e, statistical, nonlinear, and soft matter physics::2005::20",20,2005
Applied Sciences,volume::applied sciences::2025::16,16,2025
Frontiers in Psychology,volume::frontiers in psychology::2022::7,7,2022
Applied intelligence (Boston),volume::applied intelligence (boston)::2025::19,19,2025
Frontiers in Psychology,volume::frontiers in psychology::2026::16,16,2026
IEEE Transactions on Big Data,volume::ieee transactions on big data::2020::20,20,2020
Antimicrobial Agents and Chemotherapy,volume::antimicrobial agents and chemotherapy::2020::12,12,2020
Korean Association For Learner-Centered Curriculum And Instruction,volume::korean association for learner-centered curriculum and instruction::2023::7,7,2023
Multimedia tools and applications,volume::multimedia tools and applications::2024::13,13,2024
Journal of medical primatology,volume::journal of medical primatology::2004::6,6,2004
BMC Bioinformatics,volume::bmc bioinformatics::2011::3,3,2011
Retos,volume::retos::2025::17,17,2025
IEEE Design & Test of Computers,volume::ieee design & test of computers::1998::15,15,1998
Journal of Personality Assessment,volume::journal of personality assessment::2005::14,14,2005
OncoTarget,volume::oncotarget::2016::17,17,2016
DTRAP,volume::dtrap::2020::1,1,2020
International Conference on Pattern Recognition,volume::international conference on pattern recognition::2020::16,16,2020
Journal of Chemical Information and Modeling,volume::journal of chemical information and modeling::2017::11,11,2017
BMC Microbiology,volume::bmc microbiology::2020::17,17,2020
Journal of Chemical Information and Modeling,volume::journal of chemical information and modeling::2025::16,16,2025
JMIR Public Health and Surveillance,volume::jmir public health and surveillance::2017::1,1,2017
Journal of Thoracic and Cardiovascular Surgery,volume::journal of thoracic and cardiovascular surgery::2023::20,20,2023
Bioinform.,volume::bioinform.::2011::20,20,2011
Person-centered review,volume::person-centered review::2024::18,18,2024
IEEE Transactions on Instrumentation and Measurement,volume::ieee transactions on instrumentation and measurement::2023::7,7,2023
Aging & Mental Health,volume::aging & mental health::2010::12,12,2010
Nanoscale,volume::nanoscale::2022::7,7,2022
Jurnal Teknologi Informasi Indonesia (JTII),volume::jurnal teknologi informasi indonesia (jtii)::2025::12,12,2025
Stem Cells,volume::stem cells::2009::4,4,2009
Journal of Environmental Management,volume::journal of environmental management::2025::13,13,2025
J-KESMAS: Jurnal Kesehatan Masyarakat,volume::j-kesmas: jurnal kesehatan masyarakat::2023::9,9,2023
Cancer Research,volume::cancer research::2024::10,10,2024
Psychopharmacology,volume::psychopharmacology::2003::1,1,2003
LOG IN,volume::log in::2023::20,20,2023
Journal of Exposure Science and Environmental Epidemiology,volume::journal of exposure science and environmental epidemiology::2008::19,19,2008
Cochrane Database of Systematic Reviews,volume::cochrane database of systematic reviews::2014::13,13,2014
ANZ journal of surgery,volume::anz journal of surgery::2018::9,9,2018
European Journal of Pharmacology,volume::european journal of pharmacology::1999::12,12,1999
Data & Knowledge Engineering,volume::data & knowledge engineering::2007::9,9,2007
IEEE Access,volume::ieee access::2025::20,20,2025
Journal of public health,volume::journal of public health::2016::8,8,2016
Journal of Electrical Systems,volume::journal of electrical systems::2024::14,14,2024
Scientific Reports,volume::scientific reports::2022::3,3,2022
Astronomy &amp; Astrophysics,volume::astronomy &amp; astrophysics::2020::4,4,2020
Conference on Empirical Methods in Natural Language Processing,volume::conference on empirical methods in natural language processing::2025::3,3,2025
BMC Family Practice,volume::bmc family practice::2008::6,6,2008
Frontiers in Public Health,volume::frontiers in public health::2022::12,12,2022
Acta Biotheoretica,volume::acta biotheoretica::2021::7,7,2021
IEEE Access,volume::ieee access::2019::7,7,2019
Scientific Reports,volume::scientific reports::2025::8,8,2025
Online World Conference on Soft Computing in Industrial Applications,volume::online world conference on soft computing in industrial applications::1973::6,6,1973
Diabetology & Metabolic Syndrome,volume::diabetology & metabolic syndrome::2021::16,16,2021
Journal of laparoendoscopic & advanced surgical techniques. Part A,volume::journal of laparoendoscopic & advanced surgical techniques. part a::2025::13,13,2025
Revista de Gestão Social e Ambiental,volume::revista de gestão social e ambiental::2024::9,9,2024
Journal of Business and Social Sciences Research,volume::journal of business and social sciences research::2023::12,12,2023
Value in Health,volume::value in health::2020::6,6,2020
International Journal of Human Capital and Information Technology Professionals,volume::international journal of human capital and information technology professionals::2021::3,3,2021
Physical Review D,volume::physical review d::2022::5,5,2022
"Nutrition (Burbank, Los Angeles County, Calif.)","volume::nutrition (burbank, los angeles county, calif.)::2017::5",5,2017
Jurnal Ilmu Lingkungan,volume::jurnal ilmu lingkungan::2023::3,3,2023
Botanical Gazette,volume::botanical gazette::1897::8,8,1897
Bulletin of L.N. Gumilyov Eurasian National University. Technical Science and Technology Series,volume::bulletin of l.n. gumilyov eurasian national university. technical science and technology series::2024::2,2,2024
ACM Multimedia,volume::acm multimedia::2020::7,7,2020
ACS Omega,volume::acs omega::2022::4,4,2022
Astronomical Journal,volume::astronomical journal::2024::3,3,2024
Science China Physics Mechanics and Astronomy,volume::science china physics mechanics and astronomy::2023::8,8,2023
British Poultry Science,volume::british poultry science::2015::1,1,2015
Biochemistry,volume::biochemistry::2021::9,9,2021
Intensive Care Medicine Experimental,volume::intensive care medicine experimental::2023::9,9,2023
AFIPS National Computer Conference,volume::afips national computer conference::1899::17,17,1899
Russian neurological Journal,volume::russian neurological journal::2023::16,16,2023
Journal of Environmental Management,volume::journal of environmental management::2013::16,16,2013
Birth,volume::birth::2019::3,3,2019
ISA transactions,volume::isa transactions::2021::1,1,2021
Talanta: The International Journal of Pure and Applied Analytical Chemistry,volume::talanta: the international journal of pure and applied analytical chemistry::2005::2,2,2005
Measurement science and technology,volume::measurement science and technology::2024::16,16,2024
Indian Heart Journal,volume::indian heart journal::2025::19,19,2025
Scientific Data,volume::scientific data::2026::5,5,2026
AAPS Journal,volume::aaps journal::2014::14,14,2014
International Journal of Visual and Performing Arts,volume::international journal of visual and performing arts::2023::4,4,2023
Journal of Geophysical Research - Atmospheres,volume::journal of geophysical research - atmospheres::2016::1,1,2016
Journal of Prosthodontics,volume::journal of prosthodontics::2024::19,19,2024
European Journal of Biochemistry,volume::european journal of biochemistry::1984::7,7,1984
Motricidades,volume::motricidades::2023::20,20,2023
Interspeech,volume::interspeech::2014::1,1,2014
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,volume::international conference on theorem proving with analytic tableaux and related methods::1999::2,2,1999
"Izvestiya, Atmospheric and Oceanic Physics","volume::izvestiya, atmospheric and oceanic physics::2024::11",11,2024
IEEE Signal Processing Letters,volume::ieee signal processing letters::2023::1,1,2023
International Journal of Engineering &amp; Technology,volume::international journal of engineering &amp; technology::2018::8,8,2018
Statistics in Medicine,volume::statistics in medicine::2006::11,11,2006
Journal of Cancer Research and Clinical Oncology,volume::journal of cancer research and clinical oncology::2022::3,3,2022
Journal of Visual Languages and Computing,volume::journal of visual languages and computing::2015::11,11,2015
Neural Information Processing Systems,volume::neural information processing systems::2024::4,4,2024
"Photodermatology, Photoimmunology & Photomedicine","volume::photodermatology, photoimmunology & photomedicine::2022::13",13,2022
Comput. Aided Civ. Infrastructure Eng.,volume::comput. aided civ. infrastructure eng.::2019::9,9,2019
International Conference on Artificial Intelligence and Statistics,volume::international conference on artificial intelligence and statistics::2025::18,18,2025
Sleep Health,volume::sleep health::2019::4,4,2019
Distributed Event-Based Systems,volume::distributed event-based systems::2022::6,6,2022
American Journal of Perinatology,volume::american journal of perinatology::2022::17,17,2022
Corporate Social Responsibility and Environmental Management,volume::corporate social responsibility and environmental management::2024::1,1,2024
Cybernetics and systems,volume::cybernetics and systems::2021::14,14,2021
American Journal of Physiology - Lung cellular and Molecular Physiology,volume::american journal of physiology - lung cellular and molecular physiology::2013::13,13,2013
Statistics in Medicine,volume::statistics in medicine::2010::6,6,2010
International Journal of Communication Systems,volume::international journal of communication systems::2021::6,6,2021
Int. J. Hum. Comput. Stud.,volume::int. j. hum. comput. stud.::1998::1,1,1998
IEEE International Joint Conference on Neural Network,volume::ieee international joint conference on neural network::2023::2,2,2023
Future Technology,volume::future technology::2024::20,20,2024
arXiv.org,volume::arxiv.org::2022::16,16,2022
medRxiv,volume::medrxiv::2020::20,20,2020
Cancers,volume::cancers::2021::12,12,2021
ACM Great Lakes Symposium on VLSI,volume::acm great lakes symposium on vlsi::2010::19,19,2010
BAREKENG JURNAL ILMU MATEMATIKA DAN TERAPAN,volume::barekeng jurnal ilmu matematika dan terapan::2023::2,2,2023
bioRxiv,volume::biorxiv::2021::6,6,2021
arXiv.org,volume::arxiv.org::2024::14,14,2024
Journal of the International Neuropsychological Society,volume::journal of the international neuropsychological society::1996::20,20,1996
Proceedings / International Conference on Data Engineering,volume::proceedings / international conference on data engineering::2004::8,8,2004
European Journal of Clinical Microbiology and Infectious Diseases,volume::european journal of clinical microbiology and infectious diseases::2021::15,15,2021
Pattern Recognition Letters,volume::pattern recognition letters::2013::20,20,2013
Science Advances,volume::science advances::2024::6,6,2024
Engineering structures,volume::engineering structures::2024::12,12,2024
Natural Language Engineering,volume::natural language engineering::2022::6,6,2022
2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,volume::2021 ieee international geoscience and remote sensing symposium igarss::2021::5,5,2021
Computational Intelligence and Neuroscience,volume::computational intelligence and neuroscience::2021::4,4,2021
"IEEE Transactions on Ultrasonics, Ferroelectrics and Frequency Control","volume::ieee transactions on ultrasonics, ferroelectrics and frequency control::2018::7",7,2018
International Journal for Equity in Health,volume::international journal for equity in health::2020::9,9,2020
Diabetologia,volume::diabetologia::2010::3,3,2010
PLoS ONE,volume::plos one::2013::7,7,2013
Sustainability,volume::sustainability::2023::13,13,2023
JURNAL PENDIDIKAN DAN PEMBELAJARAN SEKOLAH DASAR,volume::jurnal pendidikan dan pembelajaran sekolah dasar::2023::19,19,2023
European Conference on Computer Vision,volume::european conference on computer vision::2020::6,6,2020
International journal  of research and innovation in applied science,volume::international journal  of research and innovation in applied science::2024::17,17,2024
Neonatal Network,volume::neonatal network::2007::1,1,2007
International journal of pharmaceutics,volume::international journal of pharmaceutics::2004::2,2,2004
Asian Pacific Journal of Cancer Prevention,volume::asian pacific journal of cancer prevention::2013::13,13,2013
International Journal of Rail transportation,volume::international journal of rail transportation::2025::11,11,2025
Acta Psychologica,volume::acta psychologica::2025::12,12,2025
Restoration Ecology,volume::restoration ecology::2025::13,13,2025
International Conferences on Contemporary Computing and Informatics,volume::international conferences on contemporary computing and informatics::2023::14,14,2023
Heart,volume::heart::2021::14,14,2021
Mind & Society,volume::mind & society::2025::20,20,2025
Applied intelligence (Boston),volume::applied intelligence (boston)::2024::5,5,2024
Computational Geosciences,volume::computational geosciences::2007::17,17,2007
Physical Review D,volume::physical review d::2023::18,18,2023
JOIV: International Journal on Informatics Visualization,volume::joiv: international journal on informatics visualization::2023::5,5,2023
Journal of Physics: Conference Series,volume::journal of physics: conference series::2023::11,11,2023
Genome Biology,volume::genome biology::2001::9,9,2001
Italian National Conference on Sensors,volume::italian national conference on sensors::2023::17,17,2023
"Medicine, Science and the Law","volume::medicine, science and the law::2022::6",6,2022
Scientific Reports,volume::scientific reports::2023::18,18,2023
Security and Communication Networks,volume::security and communication networks::2023::13,13,2023
"European Journal of Obstetrics, Gynecology, and Reproductive Biology","volume::european journal of obstetrics, gynecology, and reproductive biology::2022::12",12,2022
Journal of the American Medical Association (JAMA),volume::journal of the american medical association (jama)::2002::5,5,2002
Communication Systems and Applications,volume::communication systems and applications::2003::7,7,2003
International Journal Of Engineering And Computer Science,volume::international journal of engineering and computer science::2019::12,12,2019
GIR@SIGSPATIAL,volume::gir@sigspatial::2018::6,6,2018
Scientific Reports,volume::scientific reports::2018::8,8,2018
Balneo and PRM Research Journal,volume::balneo and prm research journal::2024::9,9,2024
EURASIP Journal on Wireless Communications and Networking,volume::eurasip journal on wireless communications and networking::2016::12,12,2016
International Journal of Data Science and Advanced Analytics,volume::international journal of data science and advanced analytics::2022::20,20,2022
Jurnal Surya Teknika,volume::jurnal surya teknika::2023::3,3,2023
International Conference on Big Knowledge,volume::international conference on big knowledge::2017::5,5,2017
Endocrine Abstracts,volume::endocrine abstracts::2023::15,15,2023
IEEE International Conference on Embedded and Real-Time Computing Systems and Applications,volume::ieee international conference on embedded and real-time computing systems and applications::2023::1,1,2023
International Symposium on Autonomous Decentralized Systems,volume::international symposium on autonomous decentralized systems::2023::6,6,2023
International Journal for Quality Research,volume::international journal for quality research::2023::15,15,2023
American Journal of Pathology,volume::american journal of pathology::2021::10,10,2021
International Journal of Geographical Information Science,volume::international journal of geographical information science::2018::1,1,2018
Healthcare,volume::healthcare::2022::19,19,2022
Cogent Business &amp; Management,volume::cogent business &amp; management::2025::9,9,2025
International Journal of Basic &amp; Clinical Pharmacology,volume::international journal of basic &amp; clinical pharmacology::2024::5,5,2024
International Conference on Information Systems and Computer Aided Education,volume::international conference on information systems and computer aided education::2021::15,15,2021
Journal of Supercomputing,volume::journal of supercomputing::2014::8,8,2014
Genetics and Clinical Genomics,volume::genetics and clinical genomics::2024::17,17,2024
Kalam: Jurnal Agama dan Sosial Humaniora,volume::kalam: jurnal agama dan sosial humaniora::2024::16,16,2024
