city,editionId,name,year
Sydney,edition::tawazun: jurnal pendidikan islam::2019,Tawazun: Jurnal Pendidikan Islam,2019
Sydney,edition::journal of coastal research::2019,Journal of Coastal Research,2019
London,edition::2021 5th international conference on trends in electronics and informatics (icoei)::2021,2021 5th International Conference on Trends in Electronics and Informatics (ICOEI),2021
Barcelona,edition::studies in nonlinear dynamics &amp; econometrics::2023,Studies in Nonlinear Dynamics &amp; Econometrics,2023
Barcelona,edition::marketing letters::2020,Marketing letters,2020
Barcelona,edition::international conference on the digital society::2024,International Conference on the Digital Society,2024
Barcelona,edition::bulletin of social informatics theory and application::2019,Bulletin of Social Informatics Theory and Application,2019
Paris,edition::2020 6th iranian conference on signal processing and intelligent systems (icspis)::2020,2020 6th Iranian Conference on Signal Processing and Intelligent Systems (ICSPIS),2020
Tokyo,edition::anais do(a) congresso internacional de direitos humanos de coimbra::2023,Anais do(a) Congresso Internacional de Direitos Humanos de Coimbra,2023
Sydney,edition::alzheimer's & dementia::2019,Alzheimer's & Dementia,2019
New York,edition::inverse problems::2021,Inverse Problems,2021
Sydney,edition::bulletin of the school of oriental and african studies::1993,Bulletin of the School of Oriental and African Studies,1993
Barcelona,"edition::2025 international conference on algorithm, artificial intelligence and computer vision (aaicv)::2025","2025 International Conference on Algorithm, Artificial Intelligence and Computer Vision (AAICV)",2025
Paris,edition::auditing::2020,Auditing,2020
Barcelona,edition::jurnal eksplorasi akuntansi::2022,JURNAL EKSPLORASI AKUNTANSI,2022
London,"edition::2025 international conference on computer science, technology and engineering (iccste)::2025","2025 International Conference on Computer Science, Technology and Engineering (ICCSTE)",2025
Barcelona,edition::service business: an international journal::2021,Service Business: An International Journal,2021
Singapore,edition::aoir selected papers of internet research::2021,AoIR Selected Papers of Internet Research,2021
Berlin,edition::new media & society::2019,New Media & Society,2019
Barcelona,edition::vestnik of saint petersburg university. international relations::2022,Vestnik of Saint Petersburg University. International relations,2022
Barcelona,edition::current issues in personality psychology::2020,Current Issues in Personality Psychology,2020
Berlin,edition::mobile information systems::2022,Mobile Information Systems,2022
Sydney,edition::formula 4.0 for digital transformation::2018,Formula 4.0 for Digital Transformation,2018
Barcelona,edition::international journal of engineering technology and management sciences::2020,International Journal of Engineering Technology and Management Sciences,2020
Paris,"edition::economics, taxes &amp; law::2023","Economics, taxes &amp; law",2023
Sydney,edition::international journal of sustainable development and planning::2023,International Journal of Sustainable Development and Planning,2023
Paris,edition::frontiers in earth science::2023,Frontiers in Earth Science,2023
Paris,edition::2021 2nd international conference on artificial intelligence and education (icaie)::2021,2021 2nd International Conference on Artificial Intelligence and Education (ICAIE),2021
Barcelona,edition::international conference on transportation information and safety::2023,International Conference on Transportation Information and Safety,2023
New York,edition::international conference on frontiers of educational technologies::2019,International Conference on Frontiers of Educational Technologies,2019
Berlin,edition::inverse problems and imaging::2019,Inverse Problems and Imaging,2019
Tokyo,edition::2022 international conference on knowledge engineering and communication systems (ickes)::2022,2022 International Conference on Knowledge Engineering and Communication Systems (ICKES),2022
Tokyo,edition::congresso brasileiro de mecânica dos solos e engenharia geotécnica::2020,Congresso Brasileiro de Mecânica dos Solos e Engenharia Geotécnica,2020
Paris,edition::vestnik tomskogo gosudarstvennogo universiteta kul turologiya i iskusstvovedenie::2022,Vestnik Tomskogo gosudarstvennogo universiteta Kul turologiya i iskusstvovedenie,2022
New York,edition::international journal of operations & production management::2019,International Journal of Operations & Production Management,2019
London,edition::european journal of sustainable development::2018,European Journal of Sustainable Development,2018
New York,edition::information security practice and experience::2020,Information Security Practice and Experience,2020
New York,"edition::2017 international conference on computer systems, electronics and control (iccsec)::2017","2017 International Conference on Computer Systems, Electronics and Control (ICCSEC)",2017
Berlin,edition::genitourinary medicine::1997,Genitourinary medicine,1997
Sydney,edition::big data intelligence for smart applications::2022,Big Data Intelligence for Smart Applications,2022
Barcelona,edition::2020 5th ieee international conference on big data analytics (icbda)::2020,2020 5th IEEE International Conference on Big Data Analytics (ICBDA),2020
London,edition::2016 ieee international conference on knowledge engineering and applications (ickea)::2016,2016 IEEE International Conference on Knowledge Engineering and Applications (ICKEA),2016
Paris,edition::clinical infectious diseases::2015,Clinical Infectious Diseases,2015
Barcelona,edition::journal of risk analysis and crisis response (jracr)::2022,Journal of Risk Analysis and Crisis Response (JRACR),2022
Tokyo,edition::journal of korea research association of international commerce::2019,Journal of Korea Research Association of International Commerce,2019
London,"edition::2017 3rd international conference on control, automation and robotics (iccar)::2017","2017 3rd International Conference on Control, Automation and Robotics (ICCAR)",2017
Tokyo,edition::2025 international conference on computing technologies & data communication (icctdc)::2025,2025 International Conference on Computing Technologies & Data Communication (ICCTDC),2025
Sydney,"edition::international journal of business, management and economics::2021","International Journal of Business, Management and Economics",2021
Berlin,edition::molecular and cellular biology / genetics::2019,Molecular and Cellular Biology / Genetics,2019
London,edition::journal für verbraucherschütz und lebensmittelsicherheit::2010,Journal für Verbraucherschütz und Lebensmittelsicherheit,2010
Berlin,edition::the handbook of china's financial system::2020,The Handbook of China's Financial System,2020
Tokyo,edition::journal of plant nutrition::2020,Journal of plant nutrition,2020
Paris,edition::journal of the institution of engineers (india) series d::2021,Journal of The Institution of Engineers (India) Series D,2021
London,edition::artery research::2017,Artery Research,2017
New York,edition::the future life of trauma::2020,The Future Life of Trauma,2020
Sydney,"edition::saturday, 15 june 2019::2019","SATURDAY, 15 JUNE 2019",2019
Singapore,edition::journal of urbanism: international research on placemaking and urban sustainability::2021,Journal of Urbanism: International Research on Placemaking and Urban Sustainability,2021
Singapore,edition::ieee international conference on grey systems and intelligent services::2009,IEEE International Conference on Grey systems and Intelligent Services,2009
Singapore,edition::journal of food and nutrition research::2018,Journal of Food and Nutrition Research,2018
Sydney,edition::life after privacy::2020,Life after Privacy,2020
Paris,edition::jornal de pediatria::2017,Jornal de Pediatria,2017
London,"edition::proceedings of the 48th international academic conference, copenhagen::2019","Proceedings of the 48th International Academic Conference, Copenhagen",2019
Paris,edition::landslides::2021,Landslides,2021
Berlin,"edition::slavic review: interdisciplinary quarterly of russian, eurasian, and east european studies::1992","Slavic Review: Interdisciplinary Quarterly of Russian, Eurasian, and East European Studies",1992
Paris,edition::pharmacoeconomics & outcomes news::2013,PharmacoEconomics & outcomes news,2013
Berlin,edition::optical and quantum electronics::2020,Optical and quantum electronics,2020
Barcelona,edition::bmj open::2021,BMJ Open,2021
New York,edition::journal of neuroengineering and rehabilitation::2021,Journal of NeuroEngineering and Rehabilitation,2021
Tokyo,edition::optoelectronics letters::2016,Optoelectronics Letters,2016
Barcelona,edition::international conference on industrial technology::2015,International Conference on Industrial Technology,2015
London,edition::in the shadow of the epidemic::2020,In the Shadow of the Epidemic,2020
Barcelona,edition::scientific investigations report::2020,Scientific Investigations Report,2020
Tokyo,edition::european workshop on optical fibre sensors::2016,European Workshop on Optical Fibre Sensors,2016
London,edition::chen yi::2020,Chen Yi,2020
Barcelona,edition::journal of high energy physics::2017,Journal of High Energy Physics,2017
Singapore,edition::iop conference series: materials science and engineering::2018,IOP Conference Series: Materials Science and Engineering,2018
Singapore,edition::international symposium on optomechatronic technologies::2010,International Symposium on Optomechatronic Technologies,2010
Tokyo,edition::hormones::2014,HORMONES,2014
London,edition::modern network technologies::2024,Modern Network technologies,2024
Barcelona,edition::applied mathematics and mechanics::2012,Applied Mathematics and Mechanics,2012
Sydney,edition::definitions::2020,Definitions,2020
Barcelona,edition::akuntabilitas::2020,Akuntabilitas,2020
Barcelona,edition::sexually transmitted diseases::2014,Sexually Transmitted Diseases,2014
New York,edition::international conference on optoelectronic and microelectronic technology and application::2020,International Conference on Optoelectronic and Microelectronic Technology and Application,2020
Singapore,edition::aerosol and air quality research::2013,Aerosol and Air Quality Research,2013
Sydney,edition::geomagnetism and aeronomy::2014,Geomagnetism and Aeronomy,2014
Sydney,edition::paripex-indian journal of research::2022,PARIPEX-INDIAN JOURNAL OF RESEARCH,2022
Tokyo,edition::optics communications::2020,Optics Communications,2020
Barcelona,edition::college literature::2020,College Literature,2020
Barcelona,edition::biorxiv::2024,bioRxiv,2024
Sydney,edition::business and economic research::2020,Business and Economic Research,2020
Singapore,edition::advances in design and control::2012,Advances in design and control,2012
Sydney,edition::2020 the 4th international conference on business and information management::2020,2020 The 4th International Conference on Business and Information Management,2020
Sydney,edition::journal of asian studies::1978,Journal of Asian Studies,1978
London,edition::comparative clinical pathology::2016,Comparative Clinical Pathology,2016
Tokyo,edition::resources for american literary study::2006,Resources for American Literary Study,2006
Sydney,edition::international and comparative law quarterly::1984,International and Comparative Law Quarterly,1984
London,edition::optics + photonics::2001,Optics + Photonics,2001
Barcelona,edition::child indicators research::2015,Child Indicators Research,2015
New York,edition::teorìâ ta metodika fìzičnogo vihovannâ::2021,Teorìâ ta Metodika Fìzičnogo Vihovannâ,2021
New York,edition::the cambridge law journal::1987,The Cambridge Law Journal,1987
Tokyo,edition::the creolization of theory::2020,The Creolization of Theory,2020
New York,edition::european heart journal::2019,European Heart Journal,2019
Singapore,edition::mathematics::2019,Mathematics,2019
Barcelona,edition::revista tecnología en marcha::2022,Revista Tecnología en Marcha,2022
Singapore,edition::revista bibliomar::2021,Revista Bibliomar,2021
New York,edition::medical herald of the south of russia::2019,Medical Herald of the South of Russia,2019
Tokyo,edition::journal of physics: conference series::2020,Journal of Physics: Conference Series,2020
Berlin,edition::2009 ieee globecom workshops::2009,2009 IEEE Globecom Workshops,2009
Barcelona,edition::progress in electromagnetics research letters::2020,Progress In Electromagnetics Research Letters,2020
Sydney,edition::journal of food measurement & characterization::2022,Journal of Food Measurement & Characterization,2022
Tokyo,edition::medrxiv::2020,medRxiv,2020
New York,edition::catena::2019,CATENA,2019
Berlin,edition::optics & photonics::1999,Optics & Photonics,1999
Tokyo,edition::annals of surgical oncology::2022,Annals of Surgical Oncology,2022
Singapore,edition::agile auditing::2021,Agile Auditing,2021
Tokyo,edition::indian journal of transplantation::2021,Indian Journal of Transplantation,2021
London,edition::aquatic ecology::2012,Aquatic Ecology,2012
London,edition::revista de la sociedad entomológica argentina::2019,Revista de la Sociedad Entomológica Argentina,2019
Berlin,edition::intertextual explorations in deuterocanonical and cognate literature::2019,Intertextual Explorations in Deuterocanonical and Cognate Literature,2019
Berlin,edition::journal of petroleum science and engineering::2018,Journal of Petroleum Science and Engineering,2018
Singapore,edition::journal of business-to-business marketing::2019,Journal of Business-to-Business Marketing,2019
Tokyo,edition::business history review::2006,Business History Review,2006
Tokyo,edition::european journal of soil science::2020,European Journal of Soil Science,2020
London,edition::applied physics a::2022,Applied Physics A,2022
Sydney,"edition::the handbook of race, ethnicity, crime, and justice::2018","The Handbook of Race, Ethnicity, Crime, and Justice",2018
Tokyo,edition::international journal of business technology and organizational behavior (ijbtob)::2022,International Journal of Business Technology and Organizational Behavior (IJBTOB),2022
New York,edition::communications in mathematics and statistics::2016,Communications in Mathematics and Statistics,2016
Barcelona,edition::conference record of ieee international symposium on electrical insulation::2006,Conference record of IEEE International Symposium on Electrical Insulation,2006
New York,edition::journal of thoracic disease::2019,Journal of Thoracic Disease,2019
London,edition::2008 10th anniversary international conference on transparent optical networks::2008,2008 10th Anniversary International Conference on Transparent Optical Networks,2008
Tokyo,edition::nature::1927,Nature,1927
Sydney,edition::ichthyological research::2009,Ichthyological Research,2009
Berlin,edition::applied mathematics and control sciences::2021,Applied Mathematics and Control Sciences,2021
Paris,edition::renewable energy::2020,Renewable Energy,2020
Berlin,edition::journal of pharmaceutical research international::2019,Journal of Pharmaceutical Research International,2019
Paris,edition::international conference on optical communications and networks::2023,International Conference on Optical Communications and Networks,2023
London,edition::tropical animal health and production::2016,Tropical Animal Health and Production,2016
Tokyo,edition::revista de economía y estadística::2022,Revista de Economía y Estadística,2022
Paris,edition::world health organization::1993,World Health Organization,1993
Sydney,edition::edinburgh medical journal::1916,Edinburgh medical journal,1916
London,"edition::sustainability accounting, management and policy journal::2020","Sustainability Accounting, Management and Policy Journal",2020
Paris,edition::down from olympus::2020,Down from Olympus,2020
Paris,edition::dialogue::1986,Dialogue,1986
Berlin,edition::british journal of pharmacology::2021,British Journal of Pharmacology,2021
Barcelona,edition::the classical review::1994,The Classical Review,1994
New York,edition::scientific reports::2018,Scientific Reports,2018
Tokyo,"edition::clinical respiratory physiology, exercise and functional imaging::2019","Clinical respiratory physiology, exercise and functional imaging",2019
Singapore,edition::hormone research in paediatrics::2006,Hormone Research in Paediatrics,2006
Barcelona,"edition::african journal of hospitality, tourism and leisure::2022","African Journal of Hospitality, Tourism and Leisure",2022
Berlin,edition::acs photonics::2019,ACS Photonics,2019
Sydney,edition::the godman and the sea::2020,The Godman and the Sea,2020
Singapore,edition::national association of korean local government studies::2023,National Association of Korean Local Government Studies,2023
Paris,edition::proceedings of 2011 ieee cie international conference on radar::2011,Proceedings of 2011 IEEE CIE International Conference on Radar,2011
Barcelona,edition::laboratoriums medizin::2014,Laboratoriums Medizin,2014
Sydney,edition::annals of public health reports::2020,Annals of Public Health Reports,2020
Berlin,edition::developments in petroleum science::2021,Developments in Petroleum Science,2021
Barcelona,edition::2013 ieee 8th conference on industrial electronics and applications (iciea)::2013,2013 IEEE 8th Conference on Industrial Electronics and Applications (ICIEA),2013
London,edition::crustaceana::2021,Crustaceana,2021
Berlin,edition::pediatrics::1965,Pediatrics,1965
New York,edition::administrative law::2019,Administrative Law,2019
Sydney,edition::2023 2nd international symposium on aerospace engineering and systems (isaes)::2023,2023 2nd International Symposium on Aerospace Engineering and Systems (ISAES),2023
Tokyo,edition::age of empires::2021,Age of Empires,2021
London,edition::optics communications::2019,Optics Communications,2019
Berlin,"edition::research in agriculture, livestock and fisheries::2019","Research in Agriculture, Livestock and Fisheries",2019
Tokyo,edition::the law of international organisations (third edition)::2020,The law of international organisations (third edition),2020
Tokyo,"edition::the complete letters of henry james, 1884–1886::2020","The Complete Letters of Henry James, 1884–1886",2020
Berlin,edition::biorxiv::2017,bioRxiv,2017
Berlin,edition::journal of modern optics::2018,Journal of Modern Optics,2018
Sydney,edition::natural hazards::2021,Natural Hazards,2021
New York,edition::kvasny prumysl::2022,Kvasny Prumysl,2022
Berlin,edition::optical engineering: the journal of spie::2023,Optical Engineering: The Journal of SPIE,2023
Paris,edition::international forum on research and technologies for society and industry leveraging a better tomorrow::2001,International Forum on Research and Technologies for Society and Industry Leveraging a better tomorrow,2001
Sydney,edition::the american journal of digestive diseases::2005,The American Journal of Digestive Diseases,2005
London,edition::international journal of current microbiology and applied sciences::2019,International Journal of Current Microbiology and Applied Sciences,2019
Singapore,edition::journal of sustainable finance & investment::2020,Journal of Sustainable Finance & Investment,2020
Barcelona,edition::clinical nutrition::2019,Clinical Nutrition,2019
London,edition::plant systematics and evolution::2017,Plant Systematics and Evolution,2017
New York,edition::international journal of vehicle structures and systems::2022,International Journal of Vehicle Structures and Systems,2022
New York,edition::pediatric research::1984,Pediatric Research,1984
London,edition::pediatrics in review::2012,Pediatrics in review,2012
Barcelona,edition::agronomy::2022,Agronomy,2022
Singapore,"edition::studies in systems, decision and control::2021","Studies in Systems, Decision and Control",2021
Paris,edition::international soil and water conservation research::2020,International Soil and Water Conservation Research,2020
New York,edition::reactions weekly::2021,Reactions weekly,2021
