from,to
journal::ieee journal of selected topics in applied earth observations and remote sensing,volume::ieee journal of selected topics in applied earth observations and remote sensing::2012::9
journal::circulation,volume::circulation::2022::19
journal::international conference on statistical and scientific database management,volume::international conference on statistical and scientific database management::2009::3
journal::international symposium on algorithms and computation,volume::international symposium on algorithms and computation::2024::14
journal::acm turing celebration conference,volume::acm turing celebration conference::2019::11
journal::ieee computer society annual symposium on vlsi,volume::ieee computer society annual symposium on vlsi::2022::14
journal::international conference on database and expert systems applications,volume::international conference on database and expert systems applications::1996::8
journal::arxiv.org,volume::arxiv.org::2025::17
journal::environmental science and technology,volume::environmental science and technology::2023::10
journal::energies,volume::energies::2024::14
journal::international conference on advances in social networks analysis and mining,volume::international conference on advances in social networks analysis and mining::2013::8
journal::journal of medical internet research,volume::journal of medical internet research::2021::15
journal::chemosphere,volume::chemosphere::2025::15
journal::international journal of electrical and computer engineering (ijece),volume::international journal of electrical and computer engineering (ijece)::2024::20
journal::journal of dairy science,volume::journal of dairy science::1990::13
journal::spektra jurnal kajian pendidikan sains,volume::spektra jurnal kajian pendidikan sains::2024::10
journal::journal of oral and facial pain and headache,volume::journal of oral and facial pain and headache::2015::17
journal::social science & medicine (1967),volume::social science & medicine (1967)::2015::19
journal::aaai conference on artificial intelligence,volume::aaai conference on artificial intelligence::2025::12
journal::hrb open research,volume::hrb open research::2020::19
journal::informatics,volume::informatics::2018::13
journal::journal of consulting and clinical psychology,volume::journal of consulting and clinical psychology::2017::3
journal::nephron,volume::nephron::2022::18
journal::naukovyi visnyk natsionalnoho hirnychoho universytetu,volume::naukovyi visnyk natsionalnoho hirnychoho universytetu::2024::11
journal::acs omega,volume::acs omega::2023::9
journal::media ethics: human ecology a connected world,volume::media ethics: human ecology a connected world::2024::6
"journal::ieee transactions on systems, man and cybernetics","volume::ieee transactions on systems, man and cybernetics::1986::15"
journal::plos one,volume::plos one::2013::6
journal::european journal of epidemiology,volume::european journal of epidemiology::2024::17
journal::digit. signal process.,volume::digit. signal process.::2008::9
"journal::transactions on social science, education and humanities research","volume::transactions on social science, education and humanities research::2024::15"
journal::bulletin of the american meteorological society - (bams),volume::bulletin of the american meteorological society - (bams)::2024::8
journal::remote sensing,volume::remote sensing::2026::17
journal::frontiers in marine science,volume::frontiers in marine science::2023::9
journal::jurnal pendidikan dan pembelajaran indonesia (jppi),volume::jurnal pendidikan dan pembelajaran indonesia (jppi)::2025::18
journal::diabetes care,volume::diabetes care::2020::7
journal::frontiers in medicine,volume::frontiers in medicine::2023::7
journal::global fashion management conference,volume::global fashion management conference::2025::10
journal::international journal of child abuse & neglect,volume::international journal of child abuse & neglect::2009::5
journal::pattern recognition,volume::pattern recognition::2025::13
journal::international journal of environmental research and public health,volume::international journal of environmental research and public health::2017::5
journal::international conference on health informatics,volume::international conference on health informatics::2016::7
journal::medical care,volume::medical care::2017::5
journal::computational and applied mathematics,volume::computational and applied mathematics::2024::18
journal::occupational and environmental medicine,volume::occupational and environmental medicine::2014::17
journal::plant signalling & behavior,volume::plant signalling & behavior::2012::18
journal::journal of public health,volume::journal of public health::2020::20
journal::highlights in science engineering and technology,volume::highlights in science engineering and technology::2024::13
journal::globalization and health,volume::globalization and health::2021::8
journal::wcae-4 '98,volume::wcae-4 '98::1998::4
journal::endocrinology,volume::endocrinology::2001::2
journal::international journal of research in business and social science,volume::international journal of research in business and social science::2023::20
journal::bmc bioinformatics,volume::bmc bioinformatics::2015::1
journal::wei sheng yan jiu = journal of hygiene research,volume::wei sheng yan jiu = journal of hygiene research::2026::19
journal::theoretical biology and medical modelling,volume::theoretical biology and medical modelling::2015::5
journal::multimedia tools and applications,volume::multimedia tools and applications::2015::19
journal::machine-mediated learning,volume::machine-mediated learning::2015::9
journal::biorxiv,volume::biorxiv::2020::2
journal::decision sciences,volume::decision sciences::2003::15
journal::ieee international symposium on on-line testing and robust system design,volume::ieee international symposium on on-line testing and robust system design::2019::10
journal::winter simulation conference : proceedings,volume::winter simulation conference : proceedings::1990::19
journal::journal of systems science and complexity,volume::journal of systems science and complexity::2015::19
journal::trends in hearing,volume::trends in hearing::2022::7
journal::health promotion international,volume::health promotion international::2024::3
journal::ksii transactions on internet and information systems,volume::ksii transactions on internet and information systems::2020::20
journal::neural computing & applications (print),volume::neural computing & applications (print)::2021::4
journal::journal of aircraft,volume::journal of aircraft::2023::10
journal::anemon muş alparslan üniversitesi sosyal bilimler dergisi,volume::anemon muş alparslan üniversitesi sosyal bilimler dergisi::2023::4
journal::british medical journal,volume::british medical journal::2021::15
journal::chemosphere,volume::chemosphere::2016::13
journal::npj systems biology and applications,volume::npj systems biology and applications::2022::13
journal::archives of environmental health an international journal,volume::archives of environmental health an international journal::2002::3
journal::international journal of semantic computing,volume::international journal of semantic computing::2018::17
journal::journal of animal ecology,volume::journal of animal ecology::2018::20
journal::international conference on medical image computing and computer-assisted intervention,volume::international conference on medical image computing and computer-assisted intervention::2019::12
journal::acm transactions on graphics,volume::acm transactions on graphics::2022::13
journal::ieee journal of biomedical and health informatics,volume::ieee journal of biomedical and health informatics::2023::18
journal::journal of cardiovascular pharmacology,volume::journal of cardiovascular pharmacology::2014::5
journal::european journal of preventive cardiology,volume::european journal of preventive cardiology::2024::7
journal::frontiers in oncology,volume::frontiers in oncology::2025::5
journal::data in brief,volume::data in brief::2021::14
journal::nature communications,volume::nature communications::2021::11
"journal::nephrology, dialysis and transplantation","volume::nephrology, dialysis and transplantation::2011::16"
journal::tropical and subtropical agroecosystems,volume::tropical and subtropical agroecosystems::2023::5
journal::ieee transactions on geoscience and remote sensing,volume::ieee transactions on geoscience and remote sensing::2003::16
journal::journal of child psychology and psychiatry and allied disciplines,volume::journal of child psychology and psychiatry and allied disciplines::2000::4
journal::italian national conference on sensors,volume::italian national conference on sensors::2025::18
journal::ieee transactions on biomedical engineering,volume::ieee transactions on biomedical engineering::1992::8
journal::wireless personal communications,volume::wireless personal communications::2022::15
journal::bmc psychology,volume::bmc psychology::2024::12
journal::ieee international geoscience and remote sensing symposium,volume::ieee international geoscience and remote sensing symposium::2024::18
journal::journal of physical chemistry a,volume::journal of physical chemistry a::2015::7
journal::sn computer science,volume::sn computer science::2023::3
journal::new england journal of medicine,volume::new england journal of medicine::1994::13
journal::comput. methods programs biomed.,volume::comput. methods programs biomed.::2023::19
journal::experimental and molecular medicine,volume::experimental and molecular medicine::2018::7
"journal::international conference on systems, signals, and image processing","volume::international conference on systems, signals, and image processing::2020::16"
journal::royal society open science,volume::royal society open science::2021::9
journal::the journal of frailty & aging,volume::the journal of frailty & aging::2014::10
journal::plos one,volume::plos one::2014::7
journal::journal of dairy science,volume::journal of dairy science::2022::5
journal::ieee/asme transactions on mechatronics,volume::ieee/asme transactions on mechatronics::2025::16
journal::journal of biological chemistry,volume::journal of biological chemistry::2011::13
journal::j. electronic imaging,volume::j. electronic imaging::2023::9
journal::cell and tissue kinetics,volume::cell and tissue kinetics::1977::10
"journal::international joint conference on knowledge discovery, knowledge engineering and knowledge management","volume::international joint conference on knowledge discovery, knowledge engineering and knowledge management::2014::1"
journal::ieee access,volume::ieee access::2023::10
journal::lgbt health,volume::lgbt health::2025::20
journal::american journal of physiology - gastrointestinal and liver physiology,volume::american journal of physiology - gastrointestinal and liver physiology::1999::4
journal::petra,volume::petra::2022::19
journal::methods of information in medicine,volume::methods of information in medicine::2001::1
journal::ieee international conference on consumer electronics,volume::ieee international conference on consumer electronics::2022::3
journal::cancer immunology and immunotherapy,volume::cancer immunology and immunotherapy::2012::15
journal::proceedings of the national academy of sciences of the united states of america,volume::proceedings of the national academy of sciences of the united states of america::2004::2
journal::current hiv/aids reports,volume::current hiv/aids reports::2020::8
journal::decision analytics,volume::decision analytics::2024::9
journal::biorxiv,volume::biorxiv::2025::20
journal::poultry science,volume::poultry science::2025::1
journal::biorxiv,volume::biorxiv::2024::13
journal::arxiv.org,volume::arxiv.org::2025::7
journal::international journal of innovative science and research technology,volume::international journal of innovative science and research technology::2025::3
journal::world electric vehicle journal,volume::world electric vehicle journal::2025::1
journal::american journal of qualitative research,volume::american journal of qualitative research::2024::6
journal::medical engineering and physics,volume::medical engineering and physics::2006::1
journal::inżynieria mineralna,volume::inżynieria mineralna::2025::12
journal::orthopaedic journal of sports medicine,volume::orthopaedic journal of sports medicine::2024::7
journal::frontiers in cell and developmental biology,volume::frontiers in cell and developmental biology::2020::7
journal::environmental science and technology,volume::environmental science and technology::2022::15
journal::international journal of computer assisted radiology and surgery,volume::international journal of computer assisted radiology and surgery::2016::1
journal::cellular and molecular gastroenterology and hepatology,volume::cellular and molecular gastroenterology and hepatology::2019::2
journal::journal of the acoustical society of america,volume::journal of the acoustical society of america::2011::7
journal::arxiv.org,volume::arxiv.org::2024::1
journal::cancer biotherapy and radiopharmaceuticals,volume::cancer biotherapy and radiopharmaceuticals::2007::11
journal::ieee transactions on medical imaging,volume::ieee transactions on medical imaging::2018::10
journal::international conference on intelligent user interfaces,volume::international conference on intelligent user interfaces::2007::11
journal::family process,volume::family process::2013::20
journal::physical review letters,volume::physical review letters::2020::19
journal::astrophysical journal,volume::astrophysical journal::2023::18
journal::ieee transactions on radiation and plasma medical sciences,volume::ieee transactions on radiation and plasma medical sciences::2025::9
journal::international journal of innovation management and organizational behavior,volume::international journal of innovation management and organizational behavior::2024::2
journal::academic journal of management and social sciences,volume::academic journal of management and social sciences::2023::1
journal::ieee access,volume::ieee access::2019::17
journal::journal of statistical computation and simulation,volume::journal of statistical computation and simulation::2024::2
journal::archives of oto-rhino-laryngology,volume::archives of oto-rhino-laryngology::2004::16
journal::plos one,volume::plos one::2024::17
journal::comput. biol. medicine,volume::comput. biol. medicine::2024::4
"journal::the journals of gerontology. series b, psychological sciences and social sciences","volume::the journals of gerontology. series b, psychological sciences and social sciences::2024::4"
journal::journal of authentic research,volume::journal of authentic research::2025::3
journal::decision support systems,volume::decision support systems::2007::15
journal::annals of vascular surgery,volume::annals of vascular surgery::2007::17
journal::sri lankan journal of applied statistics,volume::sri lankan journal of applied statistics::2023::17
journal::bmc infectious diseases,volume::bmc infectious diseases::2010::20
journal::proceedings of the national academy of sciences of the united states of america,volume::proceedings of the national academy of sciences of the united states of america::2023::1
journal::australian meteorological magazine,volume::australian meteorological magazine::1977::18
journal::journal of multimorbidity and comorbidity,volume::journal of multimorbidity and comorbidity::2022::12
journal::italian national conference on sensors,volume::italian national conference on sensors::2020::17
journal::revista politécnica,volume::revista politécnica::2023::8
journal::jpi (jurnal pendidikan indonesia),volume::jpi (jurnal pendidikan indonesia)::2024::5
journal::ieee international geoscience and remote sensing symposium,volume::ieee international geoscience and remote sensing symposium::2018::3
journal::supportive care in cancer,volume::supportive care in cancer::2017::12
journal::jati (jurnal mahasiswa teknik informatika),volume::jati (jurnal mahasiswa teknik informatika)::2026::19
journal::processes,volume::processes::2023::14
journal::neural processing letters,volume::neural processing letters::2022::2
journal::rairo oper. res.,volume::rairo oper. res.::2023::9
journal::jmir medical education,volume::jmir medical education::2018::8
journal::international journal of molecular sciences,volume::international journal of molecular sciences::2022::5
journal::neuroimage,volume::neuroimage::2012::15
journal::artif. intell. medicine,volume::artif. intell. medicine::2021::7
journal::cancer immunology research,volume::cancer immunology research::2019::1
journal::innovations in education & teaching international,volume::innovations in education & teaching international::2024::1
journal::ieee signal processing letters,volume::ieee signal processing letters::2016::7
journal::international journal of endocrinology,volume::international journal of endocrinology::2014::9
journal::biorxiv,volume::biorxiv::2025::1
journal::interactive technology and smart education,volume::interactive technology and smart education::2008::10
journal::biophysical chemistry,volume::biophysical chemistry::1988::12
journal::journal of biomechanics,volume::journal of biomechanics::2005::14
journal::bmc proceedings,volume::bmc proceedings::2007::6
journal::american journal of health promotion,volume::american journal of health promotion::2003::13
journal::records of chemical sciences,volume::records of chemical sciences::2025::9
journal::journal of mental health,volume::journal of mental health::2017::2
journal::nuclear science and techniques,volume::nuclear science and techniques::2023::13
journal::dental traumatology,volume::dental traumatology::2016::15
journal::jurnal ilmiah sekolah dasar,volume::jurnal ilmiah sekolah dasar::2023::10
journal::journal of neuro-oncology,volume::journal of neuro-oncology::2010::15
journal::jurnal muara pendidikan,volume::jurnal muara pendidikan::2023::20
"journal::ieee international conference on systems, man and cybernetics","volume::ieee international conference on systems, man and cybernetics::2021::7"
"journal::physical review d, particles and fields","volume::physical review d, particles and fields::1989::15"
journal::library hi tech,volume::library hi tech::2016::8
journal::proceedings of the national academy of sciences of the united states of america,volume::proceedings of the national academy of sciences of the united states of america::2018::12
journal::cogent education,volume::cogent education::2025::19
journal::waste management,volume::waste management::2007::10
"journal::governance. an international journal of policy, administration and institutions","volume::governance. an international journal of policy, administration and institutions::2024::10"
journal::jurnal pendidikan sekolah dasar,volume::jurnal pendidikan sekolah dasar::2021::4
journal::molecular cancer therapeutics,volume::molecular cancer therapeutics::2017::6
journal::bmc bioinformatics,volume::bmc bioinformatics::2008::15
journal::ieee transactions on network science and engineering,volume::ieee transactions on network science and engineering::2020::14
journal::igarss 2003. 2003 ieee international geoscience and remote sensing symposium. proceedings (ieee cat. no.03ch37477),volume::igarss 2003. 2003 ieee international geoscience and remote sensing symposium. proceedings (ieee cat. no.03ch37477)::2003::2
"journal::international journal of advanced research in science, communication and technology","volume::international journal of advanced research in science, communication and technology::2023::20"
journal::npj parkinson's disease,volume::npj parkinson's disease::2020::4
journal::journal of pediatric surgery,volume::journal of pediatric surgery::2025::9
journal::journal of molecular and cellular cardiology,volume::journal of molecular and cellular cardiology::2021::9
journal::journal of computing and information science in engineering,volume::journal of computing and information science in engineering::2025::17
journal::scientific reports,volume::scientific reports::2025::12
journal::canadian journal of statistics,volume::canadian journal of statistics::2024::4
journal::agriculture,volume::agriculture::2024::11
journal::rmd open,volume::rmd open::2026::2
journal::physical review b (condensed matter),volume::physical review b (condensed matter)::1996::14
journal::proceedings of the national academy of sciences of the united states of america,volume::proceedings of the national academy of sciences of the united states of america::1999::20
journal::plos one,volume::plos one::2024::14
journal::epilepsy research,volume::epilepsy research::2021::17
journal::ieee international geoscience and remote sensing symposium,volume::ieee international geoscience and remote sensing symposium::2009::7
journal::spine,volume::spine::2014::3
"journal::physical review. e, statistical, nonlinear, and soft matter physics","volume::physical review. e, statistical, nonlinear, and soft matter physics::2005::20"
journal::applied sciences,volume::applied sciences::2025::16
journal::frontiers in psychology,volume::frontiers in psychology::2022::7
journal::applied intelligence (boston),volume::applied intelligence (boston)::2025::19
journal::frontiers in psychology,volume::frontiers in psychology::2026::16
journal::ieee transactions on big data,volume::ieee transactions on big data::2020::20
journal::antimicrobial agents and chemotherapy,volume::antimicrobial agents and chemotherapy::2020::12
journal::korean association for learner-centered curriculum and instruction,volume::korean association for learner-centered curriculum and instruction::2023::7
journal::multimedia tools and applications,volume::multimedia tools and applications::2024::13
journal::journal of medical primatology,volume::journal of medical primatology::2004::6
journal::bmc bioinformatics,volume::bmc bioinformatics::2011::3
journal::retos,volume::retos::2025::17
journal::ieee design & test of computers,volume::ieee design & test of computers::1998::15
journal::journal of personality assessment,volume::journal of personality assessment::2005::14
journal::oncotarget,volume::oncotarget::2016::17
journal::dtrap,volume::dtrap::2020::1
journal::international conference on pattern recognition,volume::international conference on pattern recognition::2020::16
journal::journal of chemical information and modeling,volume::journal of chemical information and modeling::2017::11
journal::bmc microbiology,volume::bmc microbiology::2020::17
journal::journal of chemical information and modeling,volume::journal of chemical information and modeling::2025::16
journal::jmir public health and surveillance,volume::jmir public health and surveillance::2017::1
journal::journal of thoracic and cardiovascular surgery,volume::journal of thoracic and cardiovascular surgery::2023::20
journal::bioinform.,volume::bioinform.::2011::20
journal::person-centered review,volume::person-centered review::2024::18
journal::ieee transactions on instrumentation and measurement,volume::ieee transactions on instrumentation and measurement::2023::7
journal::aging & mental health,volume::aging & mental health::2010::12
journal::nanoscale,volume::nanoscale::2022::7
journal::jurnal teknologi informasi indonesia (jtii),volume::jurnal teknologi informasi indonesia (jtii)::2025::12
journal::stem cells,volume::stem cells::2009::4
journal::journal of environmental management,volume::journal of environmental management::2025::13
journal::j-kesmas: jurnal kesehatan masyarakat,volume::j-kesmas: jurnal kesehatan masyarakat::2023::9
journal::cancer research,volume::cancer research::2024::10
journal::psychopharmacology,volume::psychopharmacology::2003::1
journal::log in,volume::log in::2023::20
journal::journal of exposure science and environmental epidemiology,volume::journal of exposure science and environmental epidemiology::2008::19
journal::cochrane database of systematic reviews,volume::cochrane database of systematic reviews::2014::13
journal::anz journal of surgery,volume::anz journal of surgery::2018::9
journal::european journal of pharmacology,volume::european journal of pharmacology::1999::12
journal::data & knowledge engineering,volume::data & knowledge engineering::2007::9
journal::ieee access,volume::ieee access::2025::20
journal::journal of public health,volume::journal of public health::2016::8
journal::journal of electrical systems,volume::journal of electrical systems::2024::14
journal::scientific reports,volume::scientific reports::2022::3
journal::astronomy &amp; astrophysics,volume::astronomy &amp; astrophysics::2020::4
journal::conference on empirical methods in natural language processing,volume::conference on empirical methods in natural language processing::2025::3
journal::bmc family practice,volume::bmc family practice::2008::6
journal::frontiers in public health,volume::frontiers in public health::2022::12
journal::acta biotheoretica,volume::acta biotheoretica::2021::7
journal::ieee access,volume::ieee access::2019::7
journal::scientific reports,volume::scientific reports::2025::8
journal::online world conference on soft computing in industrial applications,volume::online world conference on soft computing in industrial applications::1973::6
journal::diabetology & metabolic syndrome,volume::diabetology & metabolic syndrome::2021::16
journal::journal of laparoendoscopic & advanced surgical techniques. part a,volume::journal of laparoendoscopic & advanced surgical techniques. part a::2025::13
journal::revista de gestão social e ambiental,volume::revista de gestão social e ambiental::2024::9
journal::journal of business and social sciences research,volume::journal of business and social sciences research::2023::12
journal::value in health,volume::value in health::2020::6
journal::international journal of human capital and information technology professionals,volume::international journal of human capital and information technology professionals::2021::3
journal::physical review d,volume::physical review d::2022::5
"journal::nutrition (burbank, los angeles county, calif.)","volume::nutrition (burbank, los angeles county, calif.)::2017::5"
journal::jurnal ilmu lingkungan,volume::jurnal ilmu lingkungan::2023::3
journal::botanical gazette,volume::botanical gazette::1897::8
journal::bulletin of l.n. gumilyov eurasian national university. technical science and technology series,volume::bulletin of l.n. gumilyov eurasian national university. technical science and technology series::2024::2
journal::acm multimedia,volume::acm multimedia::2020::7
journal::acs omega,volume::acs omega::2022::4
journal::astronomical journal,volume::astronomical journal::2024::3
journal::science china physics mechanics and astronomy,volume::science china physics mechanics and astronomy::2023::8
journal::british poultry science,volume::british poultry science::2015::1
journal::biochemistry,volume::biochemistry::2021::9
journal::intensive care medicine experimental,volume::intensive care medicine experimental::2023::9
journal::afips national computer conference,volume::afips national computer conference::1899::17
journal::russian neurological journal,volume::russian neurological journal::2023::16
journal::journal of environmental management,volume::journal of environmental management::2013::16
journal::birth,volume::birth::2019::3
journal::isa transactions,volume::isa transactions::2021::1
journal::talanta: the international journal of pure and applied analytical chemistry,volume::talanta: the international journal of pure and applied analytical chemistry::2005::2
journal::measurement science and technology,volume::measurement science and technology::2024::16
journal::indian heart journal,volume::indian heart journal::2025::19
journal::scientific data,volume::scientific data::2026::5
journal::aaps journal,volume::aaps journal::2014::14
journal::international journal of visual and performing arts,volume::international journal of visual and performing arts::2023::4
journal::journal of geophysical research - atmospheres,volume::journal of geophysical research - atmospheres::2016::1
journal::journal of prosthodontics,volume::journal of prosthodontics::2024::19
journal::european journal of biochemistry,volume::european journal of biochemistry::1984::7
journal::motricidades,volume::motricidades::2023::20
journal::interspeech,volume::interspeech::2014::1
journal::international conference on theorem proving with analytic tableaux and related methods,volume::international conference on theorem proving with analytic tableaux and related methods::1999::2
"journal::izvestiya, atmospheric and oceanic physics","volume::izvestiya, atmospheric and oceanic physics::2024::11"
journal::ieee signal processing letters,volume::ieee signal processing letters::2023::1
journal::international journal of engineering &amp; technology,volume::international journal of engineering &amp; technology::2018::8
journal::statistics in medicine,volume::statistics in medicine::2006::11
journal::journal of cancer research and clinical oncology,volume::journal of cancer research and clinical oncology::2022::3
journal::journal of visual languages and computing,volume::journal of visual languages and computing::2015::11
journal::neural information processing systems,volume::neural information processing systems::2024::4
"journal::photodermatology, photoimmunology & photomedicine","volume::photodermatology, photoimmunology & photomedicine::2022::13"
journal::comput. aided civ. infrastructure eng.,volume::comput. aided civ. infrastructure eng.::2019::9
journal::international conference on artificial intelligence and statistics,volume::international conference on artificial intelligence and statistics::2025::18
journal::sleep health,volume::sleep health::2019::4
journal::distributed event-based systems,volume::distributed event-based systems::2022::6
journal::american journal of perinatology,volume::american journal of perinatology::2022::17
journal::corporate social responsibility and environmental management,volume::corporate social responsibility and environmental management::2024::1
journal::cybernetics and systems,volume::cybernetics and systems::2021::14
journal::american journal of physiology - lung cellular and molecular physiology,volume::american journal of physiology - lung cellular and molecular physiology::2013::13
journal::statistics in medicine,volume::statistics in medicine::2010::6
journal::international journal of communication systems,volume::international journal of communication systems::2021::6
journal::int. j. hum. comput. stud.,volume::int. j. hum. comput. stud.::1998::1
journal::ieee international joint conference on neural network,volume::ieee international joint conference on neural network::2023::2
journal::future technology,volume::future technology::2024::20
journal::arxiv.org,volume::arxiv.org::2022::16
journal::medrxiv,volume::medrxiv::2020::20
journal::cancers,volume::cancers::2021::12
journal::acm great lakes symposium on vlsi,volume::acm great lakes symposium on vlsi::2010::19
journal::barekeng jurnal ilmu matematika dan terapan,volume::barekeng jurnal ilmu matematika dan terapan::2023::2
journal::biorxiv,volume::biorxiv::2021::6
journal::arxiv.org,volume::arxiv.org::2024::14
journal::journal of the international neuropsychological society,volume::journal of the international neuropsychological society::1996::20
journal::proceedings / international conference on data engineering,volume::proceedings / international conference on data engineering::2004::8
journal::european journal of clinical microbiology and infectious diseases,volume::european journal of clinical microbiology and infectious diseases::2021::15
journal::pattern recognition letters,volume::pattern recognition letters::2013::20
journal::science advances,volume::science advances::2024::6
journal::engineering structures,volume::engineering structures::2024::12
journal::natural language engineering,volume::natural language engineering::2022::6
journal::2021 ieee international geoscience and remote sensing symposium igarss,volume::2021 ieee international geoscience and remote sensing symposium igarss::2021::5
journal::computational intelligence and neuroscience,volume::computational intelligence and neuroscience::2021::4
"journal::ieee transactions on ultrasonics, ferroelectrics and frequency control","volume::ieee transactions on ultrasonics, ferroelectrics and frequency control::2018::7"
journal::international journal for equity in health,volume::international journal for equity in health::2020::9
journal::diabetologia,volume::diabetologia::2010::3
journal::plos one,volume::plos one::2013::7
journal::sustainability,volume::sustainability::2023::13
journal::jurnal pendidikan dan pembelajaran sekolah dasar,volume::jurnal pendidikan dan pembelajaran sekolah dasar::2023::19
journal::european conference on computer vision,volume::european conference on computer vision::2020::6
journal::international journal  of research and innovation in applied science,volume::international journal  of research and innovation in applied science::2024::17
journal::neonatal network,volume::neonatal network::2007::1
journal::international journal of pharmaceutics,volume::international journal of pharmaceutics::2004::2
journal::asian pacific journal of cancer prevention,volume::asian pacific journal of cancer prevention::2013::13
journal::international journal of rail transportation,volume::international journal of rail transportation::2025::11
journal::acta psychologica,volume::acta psychologica::2025::12
journal::restoration ecology,volume::restoration ecology::2025::13
journal::international conferences on contemporary computing and informatics,volume::international conferences on contemporary computing and informatics::2023::14
journal::heart,volume::heart::2021::14
journal::mind & society,volume::mind & society::2025::20
journal::applied intelligence (boston),volume::applied intelligence (boston)::2024::5
journal::computational geosciences,volume::computational geosciences::2007::17
journal::physical review d,volume::physical review d::2023::18
journal::joiv: international journal on informatics visualization,volume::joiv: international journal on informatics visualization::2023::5
journal::journal of physics: conference series,volume::journal of physics: conference series::2023::11
journal::genome biology,volume::genome biology::2001::9
journal::italian national conference on sensors,volume::italian national conference on sensors::2023::17
"journal::medicine, science and the law","volume::medicine, science and the law::2022::6"
journal::scientific reports,volume::scientific reports::2023::18
journal::security and communication networks,volume::security and communication networks::2023::13
"journal::european journal of obstetrics, gynecology, and reproductive biology","volume::european journal of obstetrics, gynecology, and reproductive biology::2022::12"
journal::journal of the american medical association (jama),volume::journal of the american medical association (jama)::2002::5
journal::communication systems and applications,volume::communication systems and applications::2003::7
journal::international journal of engineering and computer science,volume::international journal of engineering and computer science::2019::12
journal::gir@sigspatial,volume::gir@sigspatial::2018::6
journal::scientific reports,volume::scientific reports::2018::8
journal::balneo and prm research journal,volume::balneo and prm research journal::2024::9
journal::eurasip journal on wireless communications and networking,volume::eurasip journal on wireless communications and networking::2016::12
journal::international journal of data science and advanced analytics,volume::international journal of data science and advanced analytics::2022::20
journal::jurnal surya teknika,volume::jurnal surya teknika::2023::3
journal::international conference on big knowledge,volume::international conference on big knowledge::2017::5
journal::endocrine abstracts,volume::endocrine abstracts::2023::15
journal::ieee international conference on embedded and real-time computing systems and applications,volume::ieee international conference on embedded and real-time computing systems and applications::2023::1
journal::international symposium on autonomous decentralized systems,volume::international symposium on autonomous decentralized systems::2023::6
journal::international journal for quality research,volume::international journal for quality research::2023::15
journal::american journal of pathology,volume::american journal of pathology::2021::10
journal::international journal of geographical information science,volume::international journal of geographical information science::2018::1
journal::healthcare,volume::healthcare::2022::19
journal::cogent business &amp; management,volume::cogent business &amp; management::2025::9
journal::international journal of basic &amp; clinical pharmacology,volume::international journal of basic &amp; clinical pharmacology::2024::5
journal::international conference on information systems and computer aided education,volume::international conference on information systems and computer aided education::2021::15
journal::journal of supercomputing,volume::journal of supercomputing::2014::8
journal::genetics and clinical genomics,volume::genetics and clinical genomics::2024::17
journal::kalam: jurnal agama dan sosial humaniora,volume::kalam: jurnal agama dan sosial humaniora::2024::16
journal::international journal of intelligent systems,volume::international journal of intelligent systems::2024::15
journal::journal of education technology,volume::journal of education technology::2024::11
journal::international symposium on computers and communications,volume::international symposium on computers and communications::2023::5
journal::quantitative science studies,volume::quantitative science studies::2023::6
journal::european respiratory journal,volume::european respiratory journal::2011::10
journal::the international journal of electrical engineering & education,volume::the international journal of electrical engineering & education::2021::2
journal::bigdata congress [services society],volume::bigdata congress [services society]::2013::12
journal::breast cancer research and treatment,volume::breast cancer research and treatment::2011::13
journal::irish university review,volume::irish university review::2023::14
journal::2019 ieee embs international conference on biomedical & health informatics (bhi),volume::2019 ieee embs international conference on biomedical & health informatics (bhi)::2019::4
journal::sice journal of control measurement and system integration,volume::sice journal of control measurement and system integration::2023::18
journal::ieee transactions on big data,volume::ieee transactions on big data::2020::2
journal::big data & society,volume::big data & society::2017::1
journal::international journal of law and policy,volume::international journal of law and policy::2024::19
journal::legal horizons,volume::legal horizons::2025::1
journal::cancers,volume::cancers::2022::7
journal::esteem journal of english education study programme,volume::esteem journal of english education study programme::2025::11
journal::international conference on software and data technologies,volume::international conference on software and data technologies::2007::19
journal::biotechnology and bioengineering,volume::biotechnology and bioengineering::2002::2
"journal::asilomar conference on signals, systems and computers","volume::asilomar conference on signals, systems and computers::2018::18"
journal::frontiers in energy research,volume::frontiers in energy research::2023::1
journal::journal of critical social welfare,volume::journal of critical social welfare::2023::12
journal::ieee conference on evolving and adaptive intelligent systems,volume::ieee conference on evolving and adaptive intelligent systems::2020::15
journal::operational research,volume::operational research::1997::6
journal::international journal of advanced biochemistry research,volume::international journal of advanced biochemistry research::2024::10
journal::journal of the advanced practitioner in oncology,volume::journal of the advanced practitioner in oncology::2016::17
journal::symmetry,volume::symmetry::2025::12
journal::construction and architecture,volume::construction and architecture::2023::10
journal::ieee access,volume::ieee access::2022::4
journal::journal of risk and financial management,volume::journal of risk and financial management::2023::11
journal::genomics data,volume::genomics data::2016::17
journal::industrial management & data systems,volume::industrial management & data systems::2023::2
journal::big data and cognitive computing,volume::big data and cognitive computing::2020::19
journal::journal of affective disorders,volume::journal of affective disorders::2025::8
journal::current genomics,volume::current genomics::2024::4
journal::modern economics &amp; management forum,volume::modern economics &amp; management forum::2025::3
journal::molecular informatics,volume::molecular informatics::2015::16
