journalId,name
journal::astronomy &amp; astrophysics,Astronomy &amp; Astrophysics
journal::frontiers in public health,Frontiers in Public Health
journal::acta biotheoretica,Acta Biotheoretica
journal::online world conference on soft computing in industrial applications,Online World Conference on Soft Computing in Industrial Applications
journal::diabetology & metabolic syndrome,Diabetology & Metabolic Syndrome
journal::journal of laparoendoscopic & advanced surgical techniques. part a,Journal of laparoendoscopic & advanced surgical techniques. Part A
journal::revista de gestão social e ambiental,Revista de Gestão Social e Ambiental
journal::journal of business and social sciences research,Journal of Business and Social Sciences Research
journal::value in health,Value in Health
journal::international journal of human capital and information technology professionals,International Journal of Human Capital and Information Technology Professionals
journal::physical review d,Physical Review D
journal::jurnal ilmu lingkungan,Jurnal Ilmu Lingkungan
journal::botanical gazette,Botanical Gazette
journal::bulletin of l.n. gumilyov eurasian national university. technical science and technology series,Bulletin of L.N. Gumilyov Eurasian National University. Technical Science and Technology Series
journal::astronomical journal,Astronomical Journal
journal::science china physics mechanics and astronomy,Science China Physics Mechanics and Astronomy
journal::british poultry science,British Poultry Science
journal::biochemistry,Biochemistry
journal::intensive care medicine experimental,Intensive Care Medicine Experimental
journal::afips national computer conference,AFIPS National Computer Conference
journal::russian neurological journal,Russian neurological Journal
journal::birth,Birth
journal::isa transactions,ISA transactions
journal::talanta: the international journal of pure and applied analytical chemistry,Talanta: The International Journal of Pure and Applied Analytical Chemistry
journal::measurement science and technology,Measurement science and technology
journal::indian heart journal,Indian Heart Journal
journal::international journal of visual and performing arts,International Journal of Visual and Performing Arts
journal::journal of geophysical research - atmospheres,Journal of Geophysical Research - Atmospheres
journal::journal of prosthodontics,Journal of Prosthodontics
journal::european journal of biochemistry,European Journal of Biochemistry
journal::motricidades,Motricidades
journal::international conference on theorem proving with analytic tableaux and related methods,International Conference on Theorem Proving with Analytic Tableaux and Related Methods
"journal::izvestiya, atmospheric and oceanic physics","Izvestiya, Atmospheric and Oceanic Physics"
journal::international journal of engineering &amp; technology,International Journal of Engineering &amp; Technology
journal::statistics in medicine,Statistics in Medicine
journal::journal of cancer research and clinical oncology,Journal of Cancer Research and Clinical Oncology
"journal::photodermatology, photoimmunology & photomedicine","Photodermatology, Photoimmunology & Photomedicine"
journal::comput. aided civ. infrastructure eng.,Comput. Aided Civ. Infrastructure Eng.
journal::international conference on artificial intelligence and statistics,International Conference on Artificial Intelligence and Statistics
journal::sleep health,Sleep Health
journal::distributed event-based systems,Distributed Event-Based Systems
journal::american journal of perinatology,American Journal of Perinatology
journal::corporate social responsibility and environmental management,Corporate Social Responsibility and Environmental Management
journal::cybernetics and systems,Cybernetics and systems
journal::american journal of physiology - lung cellular and molecular physiology,American Journal of Physiology - Lung cellular and Molecular Physiology
journal::int. j. hum. comput. stud.,Int. J. Hum. Comput. Stud.
journal::ieee international joint conference on neural network,IEEE International Joint Conference on Neural Network
journal::future technology,Future Technology
journal::cancers,Cancers
journal::acm great lakes symposium on vlsi,ACM Great Lakes Symposium on VLSI
journal::barekeng jurnal ilmu matematika dan terapan,BAREKENG JURNAL ILMU MATEMATIKA DAN TERAPAN
journal::journal of the international neuropsychological society,Journal of the International Neuropsychological Society
journal::european journal of clinical microbiology and infectious diseases,European Journal of Clinical Microbiology and Infectious Diseases
journal::pattern recognition letters,Pattern Recognition Letters
journal::science advances,Science Advances
journal::engineering structures,Engineering structures
journal::natural language engineering,Natural Language Engineering
journal::2021 ieee international geoscience and remote sensing symposium igarss,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS
journal::computational intelligence and neuroscience,Computational Intelligence and Neuroscience
"journal::ieee transactions on ultrasonics, ferroelectrics and frequency control","IEEE Transactions on Ultrasonics, Ferroelectrics and Frequency Control"
journal::international journal for equity in health,International Journal for Equity in Health
journal::diabetologia,Diabetologia
journal::jurnal pendidikan dan pembelajaran sekolah dasar,JURNAL PENDIDIKAN DAN PEMBELAJARAN SEKOLAH DASAR
journal::european conference on computer vision,European Conference on Computer Vision
journal::international journal  of research and innovation in applied science,International journal  of research and innovation in applied science
journal::neonatal network,Neonatal Network
journal::international journal of pharmaceutics,International journal of pharmaceutics
journal::asian pacific journal of cancer prevention,Asian Pacific Journal of Cancer Prevention
journal::international journal of rail transportation,International Journal of Rail transportation
journal::acta psychologica,Acta Psychologica
journal::restoration ecology,Restoration Ecology
journal::international conferences on contemporary computing and informatics,International Conferences on Contemporary Computing and Informatics
journal::heart,Heart
journal::mind & society,Mind & Society
journal::computational geosciences,Computational Geosciences
journal::joiv: international journal on informatics visualization,JOIV: International Journal on Informatics Visualization
journal::journal of physics: conference series,Journal of Physics: Conference Series
journal::genome biology,Genome Biology
"journal::medicine, science and the law","Medicine, Science and the Law"
journal::security and communication networks,Security and Communication Networks
"journal::european journal of obstetrics, gynecology, and reproductive biology","European Journal of Obstetrics, Gynecology, and Reproductive Biology"
journal::journal of the american medical association (jama),Journal of the American Medical Association (JAMA)
journal::international journal of engineering and computer science,International Journal Of Engineering And Computer Science
journal::gir@sigspatial,GIR@SIGSPATIAL
journal::balneo and prm research journal,Balneo and PRM Research Journal
journal::eurasip journal on wireless communications and networking,EURASIP Journal on Wireless Communications and Networking
journal::international journal of data science and advanced analytics,International Journal of Data Science and Advanced Analytics
journal::jurnal surya teknika,Jurnal Surya Teknika
journal::international conference on big knowledge,International Conference on Big Knowledge
journal::endocrine abstracts,Endocrine Abstracts
journal::ieee international conference on embedded and real-time computing systems and applications,IEEE International Conference on Embedded and Real-Time Computing Systems and Applications
journal::international journal for quality research,International Journal for Quality Research
journal::american journal of pathology,American Journal of Pathology
journal::international journal of geographical information science,International Journal of Geographical Information Science
journal::cogent business &amp; management,Cogent Business &amp; Management
journal::international journal of basic &amp; clinical pharmacology,International Journal of Basic &amp; Clinical Pharmacology
journal::international conference on information systems and computer aided education,International Conference on Information Systems and Computer Aided Education
journal::genetics and clinical genomics,Genetics and Clinical Genomics
journal::kalam: jurnal agama dan sosial humaniora,Kalam: Jurnal Agama dan Sosial Humaniora
journal::international journal of intelligent systems,International Journal of Intelligent Systems
journal::journal of education technology,Journal of Education Technology
journal::quantitative science studies,Quantitative Science Studies
journal::european respiratory journal,European Respiratory Journal
journal::the international journal of electrical engineering & education,The International Journal of Electrical Engineering & Education
journal::breast cancer research and treatment,Breast Cancer Research and Treatment
journal::irish university review,Irish University Review
journal::2019 ieee embs international conference on biomedical & health informatics (bhi),2019 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)
journal::sice journal of control measurement and system integration,SICE Journal of Control Measurement and System Integration
journal::international journal of law and policy,International journal of law and policy
journal::legal horizons,Legal horizons
journal::esteem journal of english education study programme,Esteem Journal of English Education Study Programme
journal::biotechnology and bioengineering,Biotechnology and Bioengineering
"journal::asilomar conference on signals, systems and computers","Asilomar Conference on Signals, Systems and Computers"
journal::frontiers in energy research,Frontiers in Energy Research
journal::journal of critical social welfare,Journal of Critical Social Welfare
journal::ieee conference on evolving and adaptive intelligent systems,IEEE Conference on Evolving and Adaptive Intelligent Systems
journal::operational research,Operational Research
journal::international journal of advanced biochemistry research,International Journal of Advanced Biochemistry Research
journal::journal of the advanced practitioner in oncology,Journal of the Advanced Practitioner in Oncology
journal::symmetry,Symmetry
journal::construction and architecture,Construction and Architecture
journal::journal of risk and financial management,Journal of Risk and Financial Management
journal::genomics data,Genomics Data
journal::industrial management & data systems,Industrial management & data systems
journal::big data and cognitive computing,Big Data and Cognitive Computing
journal::journal of affective disorders,Journal of Affective Disorders
journal::current genomics,Current Genomics
journal::modern economics &amp; management forum,Modern Economics &amp; Management Forum
journal::molecular informatics,Molecular Informatics
journal::zhongguo zhong yao za zhi = zhongguo zhongyao zazhi = china journal of chinese materia medica,Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica
"journal::ubiquitous computing, electronics & mobile communication conference","Ubiquitous Computing, Electronics & Mobile Communication Conference"
journal::pacific-asia conference on knowledge discovery and data mining,Pacific-Asia Conference on Knowledge Discovery and Data Mining
journal::journal of innovation and development,Journal of Innovation and Development
journal::asian conference on intelligent information and database systems,Asian Conference on Intelligent Information and Database Systems
journal::international conference on advanced cloud and big data,International Conference on Advanced Cloud and Big Data
journal::international journal of data science and artificial intelligence,International Journal of Data Science and Artificial Intelligence
journal::science china materials,Science China Materials
journal::fmdb transactions on sustainable intelligent networks,FMDB Transactions on Sustainable Intelligent Networks
"journal::international conference on e-learning, e-education, and online training","International Conference on E-Learning, E-Education, and Online Training"
journal::baikal research journal,Baikal Research Journal
journal::international conference on advanced machine learning technologies and applications,International Conference on Advanced Machine Learning Technologies and Applications
journal::gait & posture,Gait & Posture
journal::annals of internal medicine,Annals of Internal Medicine
journal::європейський науковий журнал економічних та фінансових інновацій,Європейський науковий журнал Економічних та Фінансових інновацій
journal::ethics and information technology,Ethics and Information Technology
journal::jurnal komputer indonesia (ju-komi),Jurnal Komputer Indonesia (Ju-Komi)
journal::panhellenic conference on informatics,Panhellenic Conference on Informatics
journal::big data mining and analytics,Big Data Mining and Analytics
journal::jurnal office,Jurnal Office
journal::icbds,ICBDS
journal::international conference on biomedical electronics and devices,International Conference on Biomedical Electronics and Devices
journal::syntax literate : jurnal ilmiah indonesia,Syntax literate : jurnal ilmiah Indonesia
journal::journal of environmental and public health,Journal of Environmental and Public Health
journal::frontiers in social psychology,Frontiers in Social Psychology
journal::universe,Universe
journal::ieee pes innovative smart grid technologies conference europe,IEEE PES Innovative Smart Grid Technologies Conference Europe
journal::many-task computing on grids and supercomputers,Many-Task Computing on Grids and Supercomputers
journal::international journal of new developments in engineering and society,International journal of new developments in engineering and society
journal::biomarkers,Biomarkers
"journal::shanlax international journal of arts, science and humanities","Shanlax International Journal of Arts, Science and Humanities"
journal::cancer nursing,Cancer Nursing
journal::international journal of performability engineering,International Journal of Performability Engineering
journal::canadian journal of chemical engineering,Canadian Journal of Chemical Engineering
journal::ieee data engineering bulletin,IEEE Data Engineering Bulletin
journal::reviews in cardiovascular medicine,Reviews in cardiovascular medicine
"journal::моделирование, оптимизация и информационные технологии","МОДЕЛИРОВАНИЕ, ОПТИМИЗАЦИЯ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ"
journal::journal of public health research,Journal of Public Health Research
journal::jurnal gizi dan pangan,Jurnal Gizi dan Pangan
journal::the journal of history and social sciences,The Journal of history and social sciences
journal::environmental pollution,Environmental Pollution
"journal::acm international conference on bioinformatics, computational biology and biomedicine","ACM International Conference on Bioinformatics, Computational Biology and Biomedicine"
journal::applied soft computing,Applied Soft Computing
"journal::j-lelc: journal of language education, linguistics, and culture","J-LELC: Journal of Language Education, Linguistics, and Culture"
journal::інвестиції: практика та досвід,Інвестиції: практика та досвід
journal::ieee network,IEEE Network
journal::chi extended abstracts,CHI Extended Abstracts
journal::ilkom jurnal ilmiah,Ilkom Jurnal Ilmiah
"journal::international conference on identification, information, and knowledge in the internet of things","International Conference on Identification, Information, and Knowledge in the Internet of Things"
journal::annual international computer software and applications conference,Annual International Computer Software and Applications Conference
journal::2016 ieee international smart cities conference (isc2),2016 IEEE International Smart Cities Conference (ISC2)
journal::the voice of creative research,The Voice of Creative Research
journal::journal of nursing scholarship,Journal of Nursing Scholarship
journal::euromicro symposium on digital systems design,Euromicro Symposium on Digital Systems Design
journal::international journal of applied engineering and management letters,International journal of applied engineering and management letters
journal::journal of computing research and innovation,Journal of Computing Research and Innovation
journal::animal,Animal
journal::wireless networks,Wireless networks
journal::compute,Compute
journal::indian journal of clinical biochemistry,Indian Journal of Clinical Biochemistry
journal::complex,Complex
journal::oil information technology journal,Oil Information Technology Journal
journal::journal of theoretical and applied electronic commerce research,Journal of Theoretical and Applied Electronic Commerce Research
journal::journal of automatic chemistry,Journal of Automatic Chemistry
journal::экономика и предпринимательство,Экономика и предпринимательство
journal::psychological assessment,Psychological Assessment
journal::annual review of neuroscience,Annual Review of Neuroscience
journal::geological journal,Geological Journal
journal::science of computer programming,Science of Computer Programming
journal::sted journal,STED JOURNAL
journal::analytical chemistry,Analytical Chemistry
journal::international symposium on high performance computing systems and applications,International Symposium on High Performance Computing Systems and Applications
journal::frontiers in big data,Frontiers in Big Data
journal::journal of technology in entrepreneurship and strategic management,Journal of Technology in Entrepreneurship and Strategic Management
journal::eneuro,eNeuro
journal::journal of the experimental analysis of behavior,Journal of The Experimental Analysis of Behavior
journal::biosensors & bioelectronics,Biosensors & bioelectronics
journal::criminal justice science &amp; governance,Criminal Justice Science &amp; Governance
"journal::ieee/acm international symposium on cluster, cloud and internet computing","IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing"
journal::berhan international research journal of science and humanities,Berhan International Research Journal of Science and Humanities
journal::international journal of multidisciplinary research and analysis,International journal of multidisciplinary research and analysis
journal::cell reports medicine,Cell Reports Medicine
journal::konstanta : jurnal matematika dan ilmu pengetahuan alam,Konstanta : Jurnal Matematika dan Ilmu Pengetahuan Alam
journal::malaria journal,Malaria Journal
journal::e-commerce letters,E-Commerce Letters
journal::ancient land,ANCIENT LAND
journal::international conference on machine learning and applications,International Conference on Machine Learning and Applications
journal::international journal of service science management engineering and technology,International Journal of Service Science Management Engineering and Technology
journal::int. j. distributed sens. networks,Int. J. Distributed Sens. Networks
journal::iceeg,ICEEG
journal::east african medical journal,East African Medical Journal
journal::korean association of public safety and criminal justice,Korean Association of Public Safety and Criminal Justice
journal::sociological research online,Sociological research online
journal::komatika: jurnal pengabdian kepada masyarakat,Komatika: Jurnal Pengabdian Kepada Masyarakat
journal::ultramicroscopy,Ultramicroscopy
journal::current research in food science,Current Research in Food Science
journal::alsys,ALSYS
journal::kurdish studies,Kurdish Studies
journal::2017 ieee international conference on big data (big data),2017 IEEE International Conference on Big Data (Big Data)
journal::ta'allum: jurnal pendidikan islam,Ta'allum: Jurnal Pendidikan Islam
journal::clinical rheumatology,Clinical Rheumatology
journal::high power laser science and engineering,High Power Laser Science and Engineering
journal::journal of marketing analytics,Journal of Marketing Analytics
journal::ieee intelligent systems,IEEE Intelligent Systems
journal::international conferences on biomedical and bioinformatics engineering,International Conferences on Biomedical and Bioinformatics Engineering
journal::ara: revista de investigación en turismo,ARA: Revista de Investigación en Turismo
journal::economie: jurnal ilmu ekonomi,Economie: Jurnal Ilmu Ekonomi
"journal::2016 ieee 2nd international conference on big data security on cloud (bigdatasecurity), ieee international conference on high performance and smart computing (hpsc), and ieee international conference on intelligent data and security (ids)","2016 IEEE 2nd International Conference on Big Data Security on Cloud (BigDataSecurity), IEEE International Conference on High Performance and Smart Computing (HPSC), and IEEE International Conference on Intelligent Data and Security (IDS)"
journal::j. comput. methods sci. eng.,J. Comput. Methods Sci. Eng.
journal::international review of economics &amp; finance,International Review of Economics &amp; Finance
journal::socio-economic and humanitarian magazine,Socio-economic and humanitarian magazine
"journal::international conference on communication, computing & security","International Conference on Communication, Computing & Security"
journal::j. parallel distributed comput.,J. Parallel Distributed Comput.
journal::journal of computing sciences in colleges (jcsc; formerly: journal of computing in small colleges),Journal of Computing Sciences in Colleges (JCSC; Formerly: Journal of Computing in Small Colleges)
journal::conference on computer and communications security,Conference on Computer and Communications Security
journal::vision: the journal of business perspective,Vision: The Journal of Business Perspective
journal::journal of visualized experiments,Journal of Visualized Experiments
journal::international conference on wireless communications and mobile computing,International Conference on Wireless Communications and Mobile Computing
journal::medicine,Medicine
journal::transactions on computer science and intelligent systems research,Transactions on Computer Science and Intelligent Systems Research
journal::computational economics,Computational Economics
journal::brain science,Brain Science
journal::journal of decision systems,Journal of Decision Systems
journal::materia socio-medica,Materia socio-medica
journal::journal of economics and public finance,Journal of Economics and Public Finance
"journal::international convention on information and communication technology, electronics and microelectronics","International Convention on Information and Communication Technology, Electronics and Microelectronics"
journal::research in adaptive and convergent systems,Research in Adaptive and Convergent Systems
journal::international conference on smart computing,International Conference on Smart Computing
journal::international journal of information technology and computer science applications,International Journal of Information Technology and Computer Science Applications
journal::international journal of research publication and reviews,International Journal of Research Publication and Reviews
journal::police quarterly,Police Quarterly
journal::acta paediatrica,Acta paediatrica
journal::journal of global information management,Journal of Global Information Management
journal::methodsx,MethodsX
journal::scientometrics,Scientometrics
journal::personal and ubiquitous computing,Personal and Ubiquitous Computing
journal::ieee vehicular technology conference,IEEE Vehicular Technology Conference
journal::ans. advances in nursing science,ANS. Advances in nursing science
journal::journal of soft computing and data mining,Journal of Soft Computing and Data Mining
journal::future internet,Future Internet
journal::m/c journal,M/C Journal
journal::photonics,Photonics
journal::international conference on intelligent computing and its emerging applications,International Conference on Intelligent Computing and its Emerging Applications
journal::current opinion in ophthalmology,Current Opinion in Ophthalmology
journal::international journal of advanced computer science and applications,International Journal of Advanced Computer Science and Applications
journal::construction innovation,Construction Innovation
journal::microorganisms,Microorganisms
journal::international conference on education and e-learning,International Conference on Education and E-Learning
journal::2014 16th international symposium on symbolic and numeric algorithms for scientific computing,2014 16th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing
journal::jurnal greenation sosial dan politik,Jurnal Greenation Sosial dan Politik
journal::frontiers in computing and intelligent systems,Frontiers in Computing and Intelligent Systems
journal::journal of technology transfer,Journal of Technology Transfer
journal::journal of mathematical imaging and vision,Journal of Mathematical Imaging and Vision
journal::journal of family medicine and primary care,Journal of Family Medicine and Primary Care
journal::digital government research,Digital Government Research
journal::erj open research,ERJ Open Research
"journal::international conference on electronics, communications, and computers","International Conference on Electronics, Communications, and Computers"
journal::cinta de moebio: revista de epistemologia de ciencias sociales,Cinta de Moebio: Revista de Epistemologia de Ciencias Sociales
journal::nature computational science,Nature Computational Science
journal::urban governance,Urban Governance
journal::environment and planning b urban analytics and city science,Environment and Planning B Urban Analytics and City Science
journal::revista española de cardiología,Revista Española de Cardiología
journal::international conference on intelligent information processing,International Conference on Intelligent Information Processing
journal::joint urban remote sensing event,Joint Urban Remote Sensing Event
journal::health leadership and quality of life,Health Leadership and Quality of Life
journal::journal of community engagement and scholarship,Journal of community engagement and scholarship
journal::journal of vision,Journal of Vision
journal::british journal of sports medicine,British Journal of Sports Medicine
journal::ethiopian journal of health sciences,Ethiopian Journal of Health Sciences
journal::management systems in production engineering,Management Systems in Production Engineering
journal::baltic journal of economic studies,Baltic Journal of Economic Studies
journal::international symposium on communications and information technologies,International Symposium on Communications and Information Technologies
journal::geological and mining engineering,Geological and Mining Engineering
journal::annals of agricultural and environmental medicine,Annals of Agricultural and Environmental Medicine
journal::acm conference on hypertext & social media,ACM Conference on Hypertext & Social Media
journal::asis&t annual meeting,ASIS&T Annual Meeting
journal::evolutionary studies in imaginative culture,Evolutionary Studies in Imaginative Culture
journal::ieee international symposium on high-assurance systems engineering,IEEE International Symposium on High-Assurance Systems Engineering
journal::education reform and development,Education Reform and Development
journal::communications on applied nonlinear analysis,Communications on Applied Nonlinear Analysis
journal::statistical papers,Statistical Papers
journal::journal of big data,Journal of Big Data
journal::pakistan journal of scientific research,Pakistan Journal of Scientific Research
journal::dunakavics,Dunakavics
journal::hearing research,Hearing Research
journal::icaice,ICAICE
journal::international symposium on information processing in sensor networks,International Symposium on Information Processing in Sensor Networks
journal::signal processing and communications applications conference,Signal Processing and Communications Applications Conference
journal::ieee custom integrated circuits conference,IEEE Custom Integrated Circuits Conference
journal::jco clinical cancer informatics,JCO Clinical Cancer Informatics
journal::national remote sensing bulletin,National Remote Sensing Bulletin
journal::jurnal teknologi informasi dan ilmu komputer,Jurnal Teknologi Informasi dan Ilmu Komputer
journal::statistics and computing,Statistics and computing
journal::nature genetics,Nature Genetics
journal::revista eletrônica multidisciplinar de investigação científica,Revista Eletrônica Multidisciplinar de Investigação Científica
journal::data management for sensor networks,Data Management for Sensor Networks
"journal::journal of hospitality, leisure, sport &amp; tourism education","Journal of Hospitality, Leisure, Sport &amp; Tourism Education"
journal::information systems frontiers,Information Systems Frontiers
journal::secur. commun. networks,Secur. Commun. Networks
journal::brain tumor research and treatment,Brain Tumor Research and Treatment
journal::international conference on combinatorial optimization and applications,International Conference on Combinatorial Optimization and Applications
journal::international conference on web information systems and technologies,International Conference on Web Information Systems and Technologies
journal::current psychology,Current Psychology
journal::computer science and application,Computer Science and Application
journal::journal of cardiology,Journal of Cardiology
journal::journal of child and adolescent psychopharmacology,Journal of child and adolescent psychopharmacology
journal::bmc surgery,BMC Surgery
journal::frontiers in microbiology,Frontiers in Microbiology
journal::physica medica (testo stampato),Physica medica (Testo stampato)
journal::clinical implant dentistry and related research,Clinical Implant Dentistry and Related Research
journal::zhonghua nei ke za zhi,Zhonghua nei ke za zhi
journal::foot & ankle orthopaedics,Foot & Ankle Orthopaedics
journal::the surgeon,The Surgeon
journal::zhonghua yi xue za zhi,Zhonghua yi xue za zhi
journal::archives of internal medicine,Archives of Internal Medicine
journal::journal of endourology,Journal of endourology
journal::annals of the rheumatic diseases,Annals of the Rheumatic Diseases
journal::annals of epidemiology,Annals of Epidemiology
journal::proceedings of ieee virtual reality annual international symposium,Proceedings of IEEE Virtual Reality Annual International Symposium
journal::international conference on computational photography,International Conference on Computational Photography
journal::journal of the indian society of remote sensing,Journal of the Indian Society of Remote Sensing
journal::digital health,Digital Health
journal::rsc advances,RSC Advances
journal::laryngoscope investigative otolaryngology,Laryngoscope Investigative Otolaryngology
journal::american journal of physiology. regulatory integrative and comparative physiology,American Journal of Physiology. Regulatory Integrative and Comparative Physiology
journal::american journal of physiology. endocrinology and metabolism,American Journal of Physiology. Endocrinology and Metabolism
"journal::knee surgery, sports traumatology, arthroscopy","Knee Surgery, Sports Traumatology, Arthroscopy"
journal::electronic journal of combinatorics,Electronic Journal of Combinatorics
journal::obesity surgery,Obesity Surgery
journal::american journal of clinical nutrition,American Journal of Clinical Nutrition
journal::heliyon,Heliyon
journal::frontiers in sports and active living,Frontiers in Sports and Active Living
journal::brazilian dental journal,Brazilian Dental Journal
journal::the international journal of tuberculosis and lung disease,The International Journal of Tuberculosis and Lung Disease
journal::women and birth,Women and Birth
journal::virchows archiv,Virchows Archiv
journal::journal of hospital infection,Journal of Hospital Infection
journal::annals of biomedical engineering,Annals of Biomedical Engineering
journal::journal of clinical endocrinology and metabolism,Journal of Clinical Endocrinology and Metabolism
journal::siggraph emerging technologies,SIGGRAPH Emerging Technologies
journal::american journal of epidemiology,American Journal of Epidemiology
journal::moscow university soil science bulletin,Moscow University Soil Science Bulletin
journal::journal of chemical physics,Journal of Chemical Physics
journal::the journal of almaty technological university,The Journal of Almaty Technological University
journal::environment international,Environment International
journal::journal of maternal-fetal & neonatal medicine,Journal of Maternal-Fetal & Neonatal Medicine
journal::revista árvore,Revista Árvore
journal::international journal of gynecological cancer,International Journal of Gynecological Cancer
journal::journal of bacteriology,Journal of Bacteriology
journal::europace,Europace
journal::space weather,Space Weather
journal::nursing management,Nursing management
journal::journal of oncology pharmacy practice,Journal of Oncology Pharmacy Practice
journal::aging clinical and experimental research,Aging Clinical and Experimental Research
journal::international conference on applied human factors and ergonomics,International Conference on Applied Human Factors and Ergonomics
journal::investigative genetics,Investigative Genetics
journal::jama psychiatry,JAMA psychiatry
journal::climate dynamics,Climate Dynamics
journal::journal of personalized medicine,Journal of Personalized Medicine
"journal::pediatric nephrology (berlin, west)","Pediatric nephrology (Berlin, West)"
journal::investigative ophthalmology and visual science,Investigative Ophthalmology and Visual Science
journal::arctic and alpine research,Arctic and Alpine Research
journal::frontiers in psychiatry,Frontiers in Psychiatry
journal::medicina,Medicina
journal::human movement science,Human Movement Science
journal::journal of early christian studies,Journal of Early Christian Studies
journal::advanced spine journal,Advanced Spine Journal
journal::global academic journal of economics and business,Global academic journal of economics and business
journal::journal of bone and joint surgery. american volume,Journal of Bone and Joint Surgery. American volume
journal::ecotoxicology and environmental safety,Ecotoxicology and Environmental Safety
journal::la radiologia medica,La radiologia medica
journal::behavioural sleep medicine,Behavioural Sleep Medicine
"journal::iraqi journal of computer, communication, control and system engineering","Iraqi Journal of Computer, Communication, Control and System Engineering"
journal::proceedings of the american thoracic society,Proceedings of the American Thoracic Society
journal::clinical and translational allergy,Clinical and Translational Allergy
journal::the foot,The Foot
journal::istanbul journal of economics / i̇stanbul i̇ktisat dergisi,Istanbul Journal of Economics / İstanbul İktisat Dergisi
"journal::proceedings 2006 ieee international conference on robotics and automation, 2006. icra 2006.","Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006."
journal::clinical neurophysiology,Clinical Neurophysiology
journal::gene,Gene
journal::telka - telekomunikasi elektronika komputasi dan kontrol,TELKA - Telekomunikasi Elektronika Komputasi dan Kontrol
journal::diabetes research and clinical practice,Diabetes Research and Clinical Practice
journal::indian journal of nephrology,Indian Journal of Nephrology
journal::journal of bone and mineral metabolism,Journal of Bone and Mineral Metabolism
journal::cancer imaging,Cancer Imaging
journal::langenbeck's archives of surgery (print),Langenbeck's archives of surgery (Print)
journal::journal of nutrilife,Journal of NutriLife
journal::cardiovascular intervention and therapeutics,Cardiovascular Intervention and Therapeutics
journal::medical & biological engineering,Medical & Biological Engineering
journal::european journal of nuclear medicine and molecular imaging,European Journal of Nuclear Medicine and Molecular Imaging
journal::physical therapy,Physical Therapy
journal::biochemical and biophysical research communications - bbrc,Biochemical and Biophysical Research Communications - BBRC
journal::heart failure reviews,Heart Failure Reviews
journal::lighting design + application,Lighting Design + Application
journal::dental journal,Dental journal
journal::molecules,Molecules
journal::obesity research and clinical practice,Obesity Research and Clinical Practice
journal::digestive diseases and sciences,Digestive Diseases and Sciences
journal::mining industry journal (gornay promishlennost),Mining Industry Journal (Gornay Promishlennost)
journal::journal of economic inequality,Journal of Economic Inequality
journal::journal of financial research,Journal of Financial Research
journal::intensive care medicine,Intensive Care Medicine
journal::journal of oncology,Journal of Oncology
journal::american journal of cardiology,American Journal of Cardiology
journal::the annals of pharmacotherapy,The Annals of Pharmacotherapy
journal::journal of comparative pathology,Journal of Comparative Pathology
journal::international journal of environment and climate change,International Journal of Environment and Climate Change
journal::high altitude medicine & biology,High Altitude Medicine & Biology
journal::entropy,Entropy
"journal::transactions of the educational establishment ""vitebsk the order of ""the badge of honor"" state academy of veterinary medicine","Transactions of the educational establishment ""Vitebsk the Order of ""the Badge of Honor"" State Academy of Veterinary Medicine"
journal::comparative studies in society and history,Comparative Studies in Society and History
journal::aesthetic plastic surgery,Aesthetic Plastic Surgery
journal::bmc research notes,BMC Research Notes
journal::eurasian journal of applied biotechnology,Eurasian journal of applied biotechnology
journal::eurohaptics,EuroHaptics
journal::front. neuroinform.,Front. Neuroinform.
journal::skin pharmacology,Skin Pharmacology
journal::emergent materials,Emergent Materials
journal::european heart journal,European Heart Journal
journal::asaio journal (1992),ASAIO journal (1992)
journal::lipids in health and disease,Lipids in Health and Disease
journal::journal of stroke & cerebrovascular diseases,Journal of Stroke & Cerebrovascular Diseases
journal::journal of the american society of echocardiography,Journal of the American Society of Echocardiography
journal::pathogens,Pathogens
journal::medical journal of the islamic republic of iran,Medical Journal of The Islamic Republic of Iran
journal::bmc musculoskeletal disorders,BMC Musculoskeletal Disorders
journal::the journal of nursery education,The Journal of Nursery Education
journal::cell & bioscience,Cell & Bioscience
journal::environmental research communications,Environmental Research Communications
journal::international dental journal,International Dental Journal
journal::international journal of information technology and web engineering,International Journal of Information Technology and Web Engineering
journal::trials,Trials
journal::journal of aerosol medicine,Journal of Aerosol Medicine
journal::journal of project management practice,Journal of Project Management Practice
journal::wiadomości statystyczne. the polish statistician,Wiadomości Statystyczne. The Polish Statistician
journal::frontiers in human neuroscience,Frontiers in Human Neuroscience
journal::journal of alternative and complementary medicine,Journal of Alternative and Complementary Medicine
journal::frontiers in physiology,Frontiers in Physiology
journal::injury,Injury
journal::clinical medicine insights: reproductive health,Clinical Medicine Insights: Reproductive Health
journal::brain injury,Brain Injury
journal::hematology,Hematology
journal::bju international,BJU International
