venueId,name
journal of multimorbidity and comorbidity,Journal of Multimorbidity and Comorbidity
2023 international conference on self sustainable artificial intelligence systems (icssas),2023 International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS)
revista politécnica,Revista Politécnica
2024 ieee international conference on communications workshops (icc workshops),2024 IEEE International Conference on Communications Workshops (ICC Workshops)
jpi (jurnal pendidikan indonesia),JPI (Jurnal Pendidikan Indonesia)
"environment, development and sustainability","Environment, Development and Sustainability"
2019 international conference on intelligent informatics and biomedical sciences (iciibms),2019 International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)
international workshop on complex networks & their applications,International Workshop on Complex Networks & Their Applications
rairo oper. res.,RAIRO Oper. Res.
artif. intell. medicine,Artif. Intell. Medicine
journal of cardiac failure,Journal of Cardiac Failure
cancer immunology research,Cancer immunology research
innovations in education & teaching international,Innovations in Education & Teaching International
oceans 2019 mts/ieee seattle,OCEANS 2019 MTS/IEEE SEATTLE
nuclear science and techniques,Nuclear Science and Techniques
journal of solution chemistry,Journal of Solution Chemistry
jurnal ilmiah sekolah dasar,Jurnal Ilmiah Sekolah Dasar
international symposium on applied machine intelligence and informatics,International Symposium on Applied Machine Intelligence and Informatics
jurnal muara pendidikan,Jurnal Muara Pendidikan
"ieee international conference on systems, man and cybernetics","IEEE International Conference on Systems, Man and Cybernetics"
atmospheric and ocean optics,Atmospheric and Ocean Optics
"governance. an international journal of policy, administration and institutions","Governance. An International Journal of Policy, Administration and Institutions"
ieee international conference on mobile adhoc and sensor systems,IEEE International Conference on Mobile Adhoc and Sensor Systems
jurnal pendidikan sekolah dasar,Jurnal Pendidikan Sekolah Dasar
ieee transactions on network science and engineering,IEEE Transactions on Network Science and Engineering
"international journal of advanced research in science, communication and technology","International Journal of Advanced Research in Science, Communication and Technology"
npj parkinson's disease,npj Parkinson's Disease
2019 asee zone i conference &amp; workshop proceedings,2019 ASEE Zone I Conference &amp; Workshop Proceedings
journal of molecular and cellular cardiology,Journal of Molecular and Cellular Cardiology
canadian journal of statistics,Canadian journal of statistics
cartography and geographic information science,Cartography and Geographic Information Science
agriculture,Agriculture
jurnal unitek,JURNAL UNITEK
conference proceedings,Conference proceedings
journal of the indonesian society of integrated chemistry,Journal of The Indonesian Society of Integrated Chemistry
epilepsy research,Epilepsy Research
food security,Food Security
regional geology reviews,Regional Geology Reviews
ieee transactions on big data,IEEE Transactions on Big Data
antimicrobial agents and chemotherapy,Antimicrobial Agents and Chemotherapy
korean association for learner-centered curriculum and instruction,Korean Association For Learner-Centered Curriculum And Instruction
multimedia tools and applications,Multimedia tools and applications
ekonomika a spoločnosť,Ekonomika a spoločnosť
turkish journal of agriculture - food science and technology,Turkish Journal of Agriculture - Food Science and Technology
dtrap,DTRAP
bmc microbiology,BMC Microbiology
workshop on cognitive aspects of the lexicon,Workshop on Cognitive Aspects of the Lexicon
journal of thoracic and cardiovascular surgery,Journal of Thoracic and Cardiovascular Surgery
person-centered review,Person-centered review
nanoscale,Nanoscale
j-kesmas: jurnal kesehatan masyarakat,J-KESMAS: Jurnal Kesehatan Masyarakat
medical mycology,Medical Mycology
international journal of geotechnical engineering,International Journal of Geotechnical Engineering
2022 ieee nigeria 4th international conference on disruptive technologies for sustainable development (nigercon),2022 IEEE Nigeria 4th International Conference on Disruptive Technologies for Sustainable Development (NIGERCON)
log in,LOG IN
proceedings of the 30th international conference on computer graphics and machine vision (graphicon 2020). part 2,Proceedings of the 30th International Conference on Computer Graphics and Machine Vision (GraphiCon 2020). Part 2
qualitative research in financial markets,Qualitative Research in Financial Markets
engineering and technology journal,Engineering and Technology Journal
astronomy &amp; astrophysics,Astronomy &amp; Astrophysics
2023 ieee 4th china international youth conference on electrical engineering (ciycee),2023 IEEE 4th China International Youth Conference On Electrical Engineering (CIYCEE)
acta biotheoretica,Acta Biotheoretica
diabetology & metabolic syndrome,Diabetology & Metabolic Syndrome
indonesian journal of agricultural research,Indonesian Journal of Agricultural Research
revista de gestão social e ambiental,Revista de Gestão Social e Ambiental
journal of business and social sciences research,Journal of Business and Social Sciences Research
value in health,Value in Health
international journal of human capital and information technology professionals,International Journal of Human Capital and Information Technology Professionals
physical review d,Physical Review D
journal of applied statistics,Journal of Applied Statistics
jurnal ilmu lingkungan,Jurnal Ilmu Lingkungan
bulletin of l.n. gumilyov eurasian national university. technical science and technology series,Bulletin of L.N. Gumilyov Eurasian National University. Technical Science and Technology Series
astronomical journal,Astronomical Journal
science china physics mechanics and astronomy,Science China Physics Mechanics and Astronomy
biochemistry,Biochemistry
intensive care medicine experimental,Intensive Care Medicine Experimental
russian neurological journal,Russian neurological Journal
birth,Birth
isa transactions,ISA transactions
linguistics and culture review,Linguistics and Culture Review
measurement science and technology,Measurement science and technology
clinical phytoscience,Clinical Phytoscience
feminist economics,Feminist Economics
international journal of health sciences,International Journal of Health Sciences
journal of prosthodontics,Journal of Prosthodontics
motricidades,Motricidades
"izvestiya, atmospheric and oceanic physics","Izvestiya, Atmospheric and Oceanic Physics"
ieee signal processing letters,IEEE Signal Processing Letters
earthquake engineering and engineering vibration,Earthquake Engineering and Engineering Vibration
international journal of agricultural economics,International Journal of Agricultural Economics
journal of cancer research and clinical oncology,Journal of Cancer Research and Clinical Oncology
jurnal paedagogy,Jurnal Paedagogy
"photodermatology, photoimmunology & photomedicine","Photodermatology, Photoimmunology & Photomedicine"
comput. aided civ. infrastructure eng.,Comput. Aided Civ. Infrastructure Eng.
sleep health,Sleep Health
american journal of perinatology,American Journal of Perinatology
corporate social responsibility and environmental management,Corporate Social Responsibility and Environmental Management
cybernetics and systems,Cybernetics and systems
ieee international joint conference on neural network,IEEE International Joint Conference on Neural Network
future technology,Future Technology
cancers,Cancers
barekeng jurnal ilmu matematika dan terapan,BAREKENG JURNAL ILMU MATEMATIKA DAN TERAPAN
european journal of clinical microbiology and infectious diseases,European Journal of Clinical Microbiology and Infectious Diseases
science advances,Science Advances
engineering structures,Engineering structures
natural language engineering,Natural Language Engineering
2021 ieee international geoscience and remote sensing symposium igarss,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS
computational intelligence and neuroscience,Computational Intelligence and Neuroscience
international journal for equity in health,International Journal for Equity in Health
letters in spatial and resource sciences,Letters in spatial and resource sciences
proceedings of 23rd scientific conference “scientific services & internet – 2021”,Proceedings of 23rd Scientific Conference “Scientific Services & Internet – 2021”
jurnal pendidikan dan pembelajaran sekolah dasar,JURNAL PENDIDIKAN DAN PEMBELAJARAN SEKOLAH DASAR
international journal  of research and innovation in applied science,International journal  of research and innovation in applied science
international conferences on contemporary computing and informatics,International Conferences on Contemporary Computing and Informatics
heart,Heart
efsa supporting publications,EFSA Supporting Publications
joiv: international journal on informatics visualization,JOIV: International Journal on Informatics Visualization
ieee geoscience and remote sensing letters,IEEE Geoscience and Remote Sensing Letters
economic analysis: theory and practice,Economic Analysis: Theory and Practice
applied mathematics and control sciences,Applied Mathematics and Control Sciences
"2024 international conference on communication, computer sciences and engineering (ic3se)","2024 International Conference on Communication, Computer Sciences and Engineering (IC3SE)"
journal of quantitative spectroscopy and radiative transfer,Journal of Quantitative Spectroscopy and Radiative Transfer
physical review research,Physical Review Research
"day 2 wed, september 22, 2021","Day 2 Wed, September 22, 2021"
indian journal of radiology and imaging,Indian Journal of Radiology and Imaging
chemcatchem,ChemCatChem
edumatika: jurnal mipa,EduMatika: Jurnal MIPA
ieee micro,IEEE Micro
preview,Preview
asian journal of shipping and logistics,Asian Journal of Shipping and Logistics
translational vision science & technology,Translational Vision Science & Technology
frontiers in sports and active living,Frontiers in Sports and Active Living
the arabian journal for science and engineering,The Arabian journal for science and engineering
materials science,Materials Science
the european physical journal c,The European Physical Journal C
ieee international workshop on multimedia signal processing,IEEE International Workshop on Multimedia Signal Processing
international journal of greenhouse gas control,International Journal of Greenhouse Gas Control
new emirates medical journal,New Emirates Medical Journal
"international journal of high information, computerization, engineering and applied science (jhice)","INTERNATIONAL JOURNAL OF HIGH INFORMATION, COMPUTERIZATION, ENGINEERING AND APPLIED SCIENCE (JHICE)"
journal of the atmospheric sciences,Journal of the Atmospheric Sciences
2023 international conference on distributed computing and electrical circuits and electronics (icdcece),2023 International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE)
archive of applied mechanics (1991),Archive of applied mechanics (1991)
ieee transactions on parallel and distributed systems,IEEE Transactions on Parallel and Distributed Systems
tehnički glasnik,Tehnički glasnik
symmetry,Symmetry
journal of the brazilian society of mechanical sciences and engineering,Journal of the Brazilian Society of Mechanical Sciences and Engineering
stand,Stand
scholars journal of engineering and technology,Scholars Journal of Engineering and Technology
thinking and reasoning,Thinking and Reasoning
russian journal of agricultural and socio-economic sciences,Russian Journal of Agricultural and Socio-Economic Sciences
scientific investigations report,Scientific Investigations Report
jurnal lentera bisnis,JURNAL LENTERA BISNIS
jurnal sosial politik,JURNAL SOSIAL POLITIK
journal of pathology,Journal of Pathology
briefings bioinform.,Briefings Bioinform.
data-centric engineering,Data-Centric Engineering
acm trans. internet things,ACM Trans. Internet Things
international symposium on telecommunications,International Symposium on Telecommunications
transportation research interdisciplinary perspectives,Transportation Research Interdisciplinary Perspectives
science,Science
proceedings of the acm on interactive mobile wearable and ubiquitous technologies,Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies
jurnal pembelajaran berpikir matematika (journal of mathematics thinking learning),Jurnal pembelajaran berpikir matematika (Journal of mathematics thinking learning)
journal of low temperature physics,Journal of Low Temperature Physics
elife,eLife
"circuits, systems, and signal processing","Circuits, systems, and signal processing"
informs journal on data science,INFORMS Journal on Data Science
"14th international conference on computer graphics, visualization, computer vision and image processing, 5th international conference on big data analytics, data mining and computational intelligence and 9th international conference on theory and practice in modern computing","14th International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing, 5th International Conference on Big Data Analytics, Data Mining and Computational Intelligence and 9th International Conference on Theory and Practice in Modern Computing"
international journal of scientific research and management,International Journal of Scientific Research and Management
public health nutrition,Public Health Nutrition
british journal of dermatology,British Journal of Dermatology
journal of child and adolescent trauma,Journal of Child and Adolescent Trauma
"ijoresh: indonesian journal of religion, spirituality, and humanity","IJoReSH: Indonesian Journal of Religion, Spirituality, and Humanity"
lithosphere,Lithosphere
schoolar social and literature study in education,SCHOOLAR Social and Literature Study in Education
progress in additive manufacturing,Progress in Additive Manufacturing
ieee transactions on affective computing,IEEE Transactions on Affective Computing
ieee intelligent transportation systems magazine,IEEE Intelligent Transportation Systems Magazine
r-economy,R-Economy
an-nuha,An-Nuha
buildings,Buildings
geological journal,Geological Journal
fluids,Fluids
journal of signal processing systems,Journal of Signal Processing Systems
"highlights in business, economics and management","Highlights in Business, Economics and Management"
international conference on computer supported cooperative work in design,International Conference on Computer Supported Cooperative Work in Design
2024 second international conference on data science and information system (icdsis),2024 Second International Conference on Data Science and Information System (ICDSIS)
international conference on mechatronics and machine vision in practice,International Conference on Mechatronics and Machine Vision in Practice
acm transactions on privacy and security,ACM Transactions on Privacy and Security
frontiers in microbiology,Frontiers in Microbiology
european journal of public health,European Journal of Public Health
critical perspectives on international business,Critical Perspectives on International Business
toxicological sciences,Toxicological Sciences
international workshop on spoken language translation,International Workshop on Spoken Language Translation
global spine journal,Global Spine Journal
jurnal kiprah pendidikan,Jurnal Kiprah Pendidikan
international journal of computational intelligence systems,International Journal of Computational Intelligence Systems
2022 9th international forum on electrical engineering and automation (ifeea),2022 9th International Forum on Electrical Engineering and Automation (IFEEA)
"visnyk universytetu ""ukraina""","Visnyk Universytetu ""Ukraina"""
"kajian pendidikan, seni, budaya, sosial  dan lingkungan","Kajian Pendidikan, Seni, Budaya, Sosial  dan Lingkungan"
gema wiralodra,Gema Wiralodra
journal of urban health,Journal of urban health
construction materials,Construction Materials
metafora: jurnal pembelajaran bahasa dan sastra,Metafora: Jurnal Pembelajaran Bahasa Dan Sastra
cornell hospitality quarterly,Cornell Hospitality Quarterly
iberspeech conference,IberSPEECH Conference
2020 5th international conference on intelligent informatics and biomedical sciences (iciibms),2020 5th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)
proceedings of the estonian academy of sciences. geology = teaduste akadeemia toimetised,Proceedings of the Estonian Academy of Sciences. Geology = Teaduste Akadeemia toimetised
international symposium on autonomous decentralized systems,International Symposium on Autonomous Decentralized Systems
international conference on digital image processing,International Conference on Digital Image Processing
multivariate behavioral research,Multivariate Behavioral Research
indonesian journal of data and science,Indonesian Journal of Data and Science
analytical and bioanalytical chemistry,Analytical and Bioanalytical Chemistry
disability and rehabilitation,Disability and Rehabilitation
pediatric emergency care,Pediatric emergency care
advances in economics and management research,Advances in Economics and Management Research
endocrine connections,Endocrine Connections
academic journal of science and technology,Academic Journal of Science and Technology
land,Land
nanomaterials,Nanomaterials
philosophical transactions of the royal society of london. biological sciences,Philosophical Transactions of the Royal Society of London. Biological Sciences
journal of property research,Journal of Property Research
oikonomika : jurnal kajian ekonomi dan keuangan syariah,OIKONOMIKA : Jurnal Kajian Ekonomi dan Keuangan Syariah
current psychology,Current Psychology
demography,Demography
المجلة العلمیة للدراسات والبحوث المالیة والتجاریة,المجلة العلمیة للدراسات والبحوث المالیة والتجاریة
jurnal inovasi dan teknologi pendidikan,Jurnal Inovasi dan Teknologi Pendidikan
data & knowledge engineering,Data & Knowledge Engineering
2019 ieee international symposium on antennas and propagation and usnc-ursi radio science meeting,2019 IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting
linguistic issues in language technology,Linguistic Issues in Language Technology
proceedings of the vertical flight society 79th annual forum,Proceedings of the Vertical Flight Society 79th Annual Forum
potchefstroom electronic law journal,Potchefstroom Electronic Law Journal
symposium on designing interactive systems,Symposium on Designing Interactive Systems
acm transactions on software engineering and methodology,ACM Transactions on Software Engineering and Methodology
journal of alloys and compounds,Journal of Alloys and Compounds
russian journal of geophysical technologies,Russian Journal of geophysical technologies
knowledge and information systems,Knowledge and Information Systems
refsq workshops,REFSQ Workshops
batteries,Batteries
geology,Geology
epilepsy & behavior,Epilepsy & Behavior
ieee transactions on network and service management,IEEE Transactions on Network and Service Management
journal of inflammation research,Journal of Inflammation Research
al-ishlah: jurnal pendidikan,AL-ISHLAH: Jurnal Pendidikan
jurnal elko (elektrikal dan komputer),Jurnal ELKO (Elektrikal dan Komputer)
european heart journal,European Heart Journal
international journal of basic &amp; clinical pharmacology,International Journal of Basic &amp; Clinical Pharmacology
journal of chemical physics,Journal of Chemical Physics
acs earth and space chemistry,ACS Earth and Space Chemistry
international conference on mobile ad-hoc and sensor networks,International Conference on Mobile Ad-hoc and Sensor Networks
volume 10: fluids engineering,Volume 10: Fluids Engineering
jurnal iqra': kajian ilmu pendidikan,Jurnal Iqra': Kajian Ilmu Pendidikan
journal of biomechanical engineering,Journal of Biomechanical Engineering
bmc pediatrics,BMC Pediatrics
"6th international conference on advanced electronic materials, computers and software engineering (aemcse 2023)","6th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE 2023)"
the faseb journal,The FASEB Journal
international conference on recent advances and innovations in engineering,International Conference on Recent Advances and Innovations in Engineering
e-journal of nondestructive testing,e-Journal of Nondestructive Testing
plant varieties studying and protection,Plant Varieties Studying and Protection
natural hazards,Natural Hazards
2022 international conference on smart grid synchronized measurements and analytics (sgsma),2022 International Conference on Smart Grid Synchronized Measurements and Analytics (SGSMA)
wireless networks,Wireless networks
conference on machine learning and computer application,Conference on Machine Learning and Computer Application
basic and clinical neuroscience,Basic and Clinical Neuroscience
ekonomi keuangan investasi dan syariah (ekuitas),Ekonomi Keuangan Investasi dan Syariah (EKUITAS)
chemosphere,Chemosphere
proceedings of the international symposium on the application of laser and imaging techniques to fluid mechanics,Proceedings of the International Symposium on the Application of Laser and Imaging Techniques to Fluid Mechanics
kidney & blood pressure research,Kidney & Blood Pressure Research
moscow university economics bulletin,Moscow University Economics Bulletin
annals of surgical oncology,Annals of Surgical Oncology
˜the œinternational arab journal of information technology,˜The œinternational Arab journal of information technology
lobachevskii journal of mathematics,Lobachevskii Journal of Mathematics
carbohydrate polymers,Carbohydrate Polymers
civil engineering journal,Civil Engineering Journal
metal conference proeedings,METAL Conference Proeedings
pakistan journal of social research,Pakistan Journal of Social Research
proc of the indonesian petroleum association 44th annual convention and exhibition,Proc of the Indonesian Petroleum Association 44th Annual Convention and Exhibition
novel intelligent and leading emerging sciences conference,Novel Intelligent and Leading Emerging Sciences Conference
organisms diversity & evolution,Organisms Diversity & Evolution
workshop on hyperspectral image and signal processing,Workshop on Hyperspectral Image and Signal Processing
entropy,Entropy
"energy sources, part a: recovery, utilization, and environmental effects","Energy Sources, Part A: Recovery, Utilization, and Environmental Effects"
journal of neural engineering,Journal of Neural Engineering
dravidianlangtech,DRAVIDIANLANGTECH
populika,POPULIKA
journal of computational physics,Journal of Computational Physics
"international conference machine learning, big data, cloud and parallel computing","International Conference Machine Learning, Big Data, Cloud and Parallel Computing"
contribuciones a las ciencias sociales,Contribuciones a las ciencias sociales
neft i gaz,Neft i gaz
portland international conference on management of engineering and technology,Portland International Conference on Management of Engineering and Technology
genetic epidemiology,Genetic Epidemiology
engineering sciences,Engineering Sciences
international journal of computer science & information technology (ijcsit),International Journal of Computer Science & Information Technology (IJCSIT)
toxicology letters,Toxicology Letters
the cryosphere,The Cryosphere
"nuclear instruments and methods in physics research section a : accelerators, spectrometers, detectors and associated equipment","Nuclear Instruments and Methods in Physics Research Section A : Accelerators, Spectrometers, Detectors and Associated Equipment"
"international symposium on sensors, mechatronics, and automation","International Symposium on Sensors, Mechatronics, and Automation"
ieee pes innovative smart grid technologies conference,IEEE PES Innovative Smart Grid Technologies Conference
journal of immunology,Journal of Immunology
journal of indonesian rural and regional government,Journal of Indonesian Rural and Regional Government
brazilian journal of geophysics,Brazilian Journal of Geophysics
"signal, image and video processing","Signal, Image and Video Processing"
international journal of immunopathology and pharmacology,International Journal of Immunopathology and Pharmacology
applied water science,Applied Water Science
workshop on computational linguistics and clinical psychology,Workshop on Computational Linguistics and Clinical Psychology
integrated journal of business and economics,Integrated Journal of Business and Economics
interspeech,Interspeech
"international symposium on antennas, propagation and em theory","International Symposium on Antennas, Propagation and EM Theory"
the international journal of electrical engineering & education,The International Journal of Electrical Engineering & Education
stat,Stat
applied economics and finance,Applied Economics and Finance
genetics selection evolution,Genetics Selection Evolution
82nd eage annual conference & exhibition,82nd EAGE Annual Conference & Exhibition
вестник российской сельскохозяйственной науки,Вестник российской сельскохозяйственной науки
asian journal on addictions,Asian Journal on Addictions
geofizicheskiy zhurnal,Geofizicheskiy Zhurnal
innovare journal of medical sciences,Innovare Journal of Medical Sciences
acta paulista de enfermagem,Acta Paulista de Enfermagem
te,TE
2024 3rd international conference on smart grids and energy systems (sges),2024 3rd International Conference on Smart Grids and Energy Systems (SGES)
ieee transactions on wireless communications,IEEE Transactions on Wireless Communications
ieee/rjs international conference on intelligent robots and systems,IEEE/RJS International Conference on Intelligent RObots and Systems
image processing,Image Processing
international conference on signal processing and communications,International Conference on Signal Processing and Communications
collas,CoLLAs
ieee conference on communications and network security,IEEE Conference on Communications and Network Security
media+environment,Media+Environment
scientific journal of intelligent systems research,Scientific Journal of Intelligent Systems Research
applied environmental research,Applied Environmental Research
annual international conference of the ieee engineering in medicine and biology society,Annual International Conference of the IEEE Engineering in Medicine and Biology Society
vestnik tomskogo gosudarstvennogo universiteta matematika i mekhanika,Vestnik Tomskogo gosudarstvennogo universiteta Matematika i mekhanika
polyhedron international journal in mathematics education,Polyhedron International Journal in Mathematics Education
ieee transactions on image processing,IEEE Transactions on Image Processing
kolaborasi : jurnal administrasi publik,Kolaborasi : Jurnal Administrasi Publik
magnetic resonance in medicine,Magnetic Resonance in Medicine
ieee transactions on geoscience and remote sensing,IEEE Transactions on Geoscience and Remote Sensing
international journal of information and education technology,International Journal of Information and Education Technology
journal of quality in maintenance engineering,Journal of Quality in Maintenance Engineering
animal diseases,Animal Diseases
siberian journal of life sciences and agriculture,Siberian Journal of Life Sciences and Agriculture
e-mabis: jurnal ekonomi manajemen dan bisnis,E-Mabis: Jurnal Ekonomi Manajemen dan Bisnis
"brain, behavior, and immunity","Brain, behavior, and immunity"
transplantation and cellular therapy,Transplantation and Cellular Therapy
psicothema,Psicothema
folia oeconomica stetinensia,Folia Oeconomica Stetinensia
journal of learning and instructional studies,Journal of Learning and Instructional Studies
the journal of asiatefl,The Journal of AsiaTEFL
american control conference,American Control Conference
spectrochimica acta part a - molecular and biomolecular spectroscopy,Spectrochimica Acta Part A - Molecular and Biomolecular Spectroscopy
austrian journal of statistics,Austrian Journal of Statistics
current opinion in systems biology,Current Opinion in Systems Biology
asia pacific symposium on intelligent and evolutionary systems,Asia Pacific Symposium on Intelligent and Evolutionary Systems
2022 4th international conference on cybernetics and intelligent system (icoris),2022 4th International Conference on Cybernetics and Intelligent System (ICORIS)
biomed research international,BioMed Research International
ted eği̇ti̇m ve bi̇li̇m,TED EĞİTİM VE BİLİM
statistics and computing,Statistics and computing
2021 2nd sea-stem international conference (sea-stem),2021 2nd SEA-STEM International Conference (SEA-STEM)
"ieee international conference on software analysis, evolution, and reengineering","IEEE International Conference on Software Analysis, Evolution, and Reengineering"
swiss medical weekly,Swiss medical weekly
international journal of nursing studies,International Journal of Nursing Studies
springer series in reliability engineering,Springer Series in Reliability Engineering
jurnal psikoedukasi dan konseling,Jurnal Psikoedukasi dan Konseling
jurnal peradaban melayu,Jurnal Peradaban Melayu
2021 international conference on data analytics for business and industry (icdabi),2021 International Conference on Data Analytics for Business and Industry (ICDABI)
ciência rural,Ciência Rural
jurnal elementaria edukasia,Jurnal Elementaria Edukasia
wiley statsref: statistics reference online,Wiley StatsRef: Statistics Reference Online
hum. comput. interact.,Hum. Comput. Interact.
frontiers in conservation science,Frontiers in Conservation Science
2024 international conference on emerging smart computing and informatics (esci),2024 International Conference on Emerging Smart Computing and Informatics (ESCI)
accident analysis and prevention,Accident Analysis and Prevention
in vivo,In Vivo
international journal of speech technology,International Journal of Speech Technology
engineering computations,Engineering computations
frontiers in robotics and ai,Frontiers in Robotics and AI
2024 international conference on machine intelligence and smart innovation (icmisi),2024 International Conference on Machine Intelligence and Smart Innovation (ICMISI)
reproductive biomedicine online,Reproductive Biomedicine Online
ieee transactions on biomedical engineering,IEEE Transactions on Biomedical Engineering
revista de saúde pública,Revista de Saúde Pública
"2020 international conference on computation, automation and knowledge management (iccakm)","2020 International Conference on Computation, Automation and Knowledge Management (ICCAKM)"
iccbb,ICCBB
ieee international conference on bioinformatics and biomedicine,IEEE International Conference on Bioinformatics and Biomedicine
géosciences,Géosciences
international journal of multidisciplinary research and analysis,International journal of multidisciplinary research and analysis
heliyon,Heliyon
journal of medical physics,Journal of Medical Physics
"international conference on informatics in control, automation and robotics","International Conference on Informatics in Control, Automation and Robotics"
current pharmaceutical design,Current pharmaceutical design
2024 5th international conference on recent trends in computer science and technology (icrtcst),2024 5th International Conference on Recent Trends in Computer Science and Technology (ICRTCST)
ieee transactions on pattern analysis and machine intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence
2024 7th international conference on mechatronics and computer technology engineering (mcte),2024 7th International Conference on Mechatronics and Computer Technology Engineering (MCTE)
social psychiatry and psychiatric epidemiology,Social Psychiatry and Psychiatric Epidemiology
union: jurnal ilmiah pendidikan matematika,UNION: Jurnal Ilmiah Pendidikan Matematika
physical review applied,Physical Review Applied
ieee journal of selected topics in applied earth observations and remote sensing,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing
ieee symposium series on computational intelligence,IEEE Symposium Series on Computational Intelligence
american psychologist,American Psychologist
journal of animal science,Journal of Animal Science
technical physics,Technical physics
advances in production engineering &amp; management,Advances in Production Engineering &amp; Management
sebatik,Sebatik
din@conext,DIN@CoNEXT
global health action,Global Health Action
microbial genomics,Microbial Genomics
international journal of precision engineering and manufacturing - green technology,International Journal of Precision Engineering and Manufacturing - Green Technology
pediatric rheumatology online journal,Pediatric Rheumatology Online Journal
journal of architectural conservation,Journal of Architectural Conservation
journal of magnetic resonance imaging,Journal of Magnetic Resonance Imaging
annals of thoracic surgery,Annals of Thoracic Surgery
biomedicines,Biomedicines
frontiers in energy research,Frontiers in Energy Research
research on aging,Research on Aging
"2022 international conference on information technology, communication ecosystem and management (itcem)","2022 International Conference on Information Technology, Communication Ecosystem and Management (ITCEM)"
contemporary developments and perspectives in international health security - volume 3 [working title],Contemporary Developments and Perspectives in International Health Security - Volume 3 [Working Title]
international journal of law and policy,International journal of law and policy
2022 ieee international smart cities conference (isc2),2022 IEEE International Smart Cities Conference (ISC2)
formal aspects of computing,Formal Aspects of Computing
quarterly journal of the royal meteorological society,Quarterly Journal of the Royal Meteorological Society
new england journal of medicine,New England Journal of Medicine
journal of cellular and molecular medicine,Journal of Cellular and Molecular Medicine
european control conference,European Control Conference
journal of emerging financial markets and policy,Journal of Emerging Financial Markets and Policy
ecosystems,Ecosystems
journal of econometrics,Journal of Econometrics
applied informatics,Applied Informatics
life science,Life Science
geochemistry geophysics geosystems,Geochemistry Geophysics Geosystems
journal of web engineering,Journal of Web Engineering
ecology and evolution,Ecology and Evolution
comput. networks,Comput. Networks
building and environment,Building and Environment
economic research-ekonomska istraživanja,Economic Research-Ekonomska Istraživanja
"proceedings of the indian academy of sciences, earth and planetary sciences","Proceedings of the Indian Academy of Sciences, Earth and Planetary Sciences"
quantitative imaging in medicine and surgery,Quantitative Imaging in Medicine and Surgery
international journal of agile systems and management,International Journal of Agile Systems and Management
journal of islamic marketing,Journal of Islamic Marketing
2019 16th international conference on quality in research (qir): international symposium on electrical and computer engineering,2019 16th International Conference on Quality in Research (QIR): International Symposium on Electrical and Computer Engineering
clinics in oncology,Clinics in oncology
family medicine,Family Medicine
international journal of scientific and research publications,International journal of scientific and research publications
jacs au,JACS Au
journal of hydrology,Journal of Hydrology
international conference on computing in cardiology,International Conference on Computing in Cardiology
annals of translational medicine,Annals of Translational Medicine
scientia iranica. international journal of science and technology,Scientia Iranica. International Journal of Science and Technology
hts teologiese studies/theological studies,HTS Teologiese Studies/Theological Studies
2023 19th international conference on distributed computing in smart systems and the internet of things (dcoss-iot),2023 19th International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT)
contemporary economy,Contemporary Economy
computational materials science,Computational materials science
microbial cell factories,Microbial Cell Factories
faimi@miccai,FAIMI@MICCAI
journal of arthroplasty,Journal of Arthroplasty
journal of neuro-ophthalmology,Journal of neuro-ophthalmology
bja open,BJA Open
critical care,Critical Care
trans. recomm. syst.,Trans. Recomm. Syst.
applied neuropsychology. adult,Applied neuropsychology. Adult
2022 first international conference on cyber-energy systems and intelligent energy (iccsie),2022 First International Conference on Cyber-Energy Systems and Intelligent Energy (ICCSIE)
physical review fluids,Physical Review Fluids
eccv workshops,ECCV Workshops
ieee transactions on emerging topics in computing,IEEE Transactions on Emerging Topics in Computing
cells,Cells
environmental research,Environmental Research
jurnal obsesi,Jurnal Obsesi
proceedings of the 2022 international conference on creative industry and knowledge economy (cike 2022),Proceedings of the 2022 International Conference on Creative Industry and Knowledge Economy (CIKE 2022)
superconductors science and technology,Superconductors Science and Technology
plos computational biology,PLoS Computational Biology
telemedicine journal and e-health,Telemedicine journal and e-health
"medicine, science and the law","Medicine, Science and the Law"
international journal of engineering and computer science,International Journal Of Engineering And Computer Science
balneo and prm research journal,Balneo and PRM Research Journal
international journal of data science and advanced analytics,International Journal of Data Science and Advanced Analytics
jurnal surya teknika,Jurnal Surya Teknika
endocrine abstracts,Endocrine Abstracts
ieee international conference on embedded and real-time computing systems and applications,IEEE International Conference on Embedded and Real-Time Computing Systems and Applications
international journal for quality research,International Journal for Quality Research
research technology management,Research technology management
american journal of pathology,American Journal of Pathology
open information science,Open Information Science
